        5000          15
      0    0    1    0    1    2    0    1    2    3    0    1    2    0    1
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.   1.
    -0.2851547207386982E+04 -0.4845601765426098E+03 -0.4657267265135280E+03 -0.1171504697525628E+03 -0.1081968006007124E+03 -0.9170849618576310E+02 -0.2688343903426866E+02 -0.2291769430121005E+02 -0.1565296108365633E+02 -0.5785239615421576E+01 -0.4618775041626608E+01 -0.3231369303994907E+01 -0.9682747139266434E+00 -0.3611123647165798E+00 -0.1923974307483176E+00
     0.7285894030678008E+00  0.4647056223216197E+01  0.5761783775038680E+01  0.1267719193166300E+02  0.1462736429782498E+02  0.1716186405427096E+02  0.2543712906077909E+02  0.2818590049106511E+02  0.3340388037313974E+02  0.4147302958315169E+02  0.4281996372638489E+02  0.4655367684430725E+02  0.5527669130375894E+02  0.6279921262407980E+02  0.6750110119032463E+02
  0.5604929600306773E-06  0.8115406137346194E-03  0.2705641726216694E-03  0.3411018443205505E-08  0.1286212143416448E-03  0.1719944781804162E-08  0.4740162898725394E-14  0.6433163266351795E-04  0.8540391852044928E-09  0.2456031344855844E-14  0.1655133864436514E-20  0.2794648417397990E-04  0.3491980172382197E-09  0.8220201193782710E-15  0.8016376673125978E-05  0.7471012090800545E-10
  0.5627038893993401E-06  0.8147416837286764E-03  0.2716313956778659E-03  0.3437981525065014E-08  0.1291285524866802E-03  0.1733540431524838E-08  0.4796478538011484E-14  0.6458538466974076E-04  0.8607901098461145E-09  0.2485210294661368E-14  0.1681404178582681E-20  0.2805671729153623E-04  0.3519583232525295E-09  0.8317861526386762E-15  0.8047996757666225E-05  0.7530068209647709E-10
  0.5649235400348553E-06  0.8179553795605631E-03  0.2727028281344317E-03  0.3465157740808322E-08  0.1296378917029651E-03  0.1747243550178135E-08  0.4853463235698859E-14  0.6484013753869996E-04  0.8675943982239566E-09  0.2514735905212566E-14  0.1708091456220158E-20  0.2816738519666854E-04  0.3547404485360287E-09  0.8416682113350516E-15  0.8079741559897611E-05  0.7589591146792458E-10
  0.5671519463392696E-06  0.8211817510252414E-03  0.2737784865927944E-03  0.3492548775170898E-08  0.1301492398825118E-03  0.1761054987261652E-08  0.4911124940523049E-14  0.6509589521769183E-04  0.8744524721563497E-09  0.2544612295005792E-14  0.1735202315391247E-20  0.2827848960413278E-04  0.3575445655610435E-09  0.8516676739053680E-15  0.8111611571693457E-05  0.7649584592240948E-10
  0.5693891428503324E-06  0.8244208481140235E-03  0.2748583877198436E-03  0.3520156326205177E-08  0.1306626049484520E-03  0.1774975598987828E-08  0.4969471695654091E-14  0.6535266166957741E-04  0.8813647567958810E-09  0.2574843631466963E-14  0.1762743479179784E-20  0.2839003223544649E-04  0.3603708481632048E-09  0.8617859351640525E-15  0.8143607286866605E-05  0.7710052265166932E-10
  0.5716351642420314E-06  0.8276727210153458E-03  0.2759425482481896E-03  0.3547982105385822E-08  0.1311779948551598E-03  0.1789006248337023E-08  0.5028511639818458E-14  0.6561044087284403E-04  0.8883316806557506E-09  0.2605434131532873E-14  0.1790721777378358E-20  0.2850201481891546E-04  0.3632194715522246E-09  0.8720244064965466E-15  0.8175729201177099E-05  0.7770997914142315E-10
  0.5738900453251302E-06  0.8309374201155453E-03  0.2770309849764215E-03  0.3576027837715820E-08  0.1316954175883744E-03  0.1803147805111007E-08  0.5088253008434307E-14  0.6586923682166670E-04  0.8953536756363332E-09  0.2636388062239391E-14  0.1819144148181982E-20  0.2861443908966043E-04  0.3660906123227569E-09  0.8823845160561768E-15  0.8207977812339840E-05  0.7832425317369526E-10
  0.5761538210477070E-06  0.8342149959996400E-03  0.2781237147693681E-03  0.3604295261833407E-08  0.1322148811653244E-03  0.1817401145986881E-08  0.5148704134760200E-14  0.6612905352597020E-04  0.9024311770519519E-09  0.2667709741316663E-14  0.1848017639908659E-20  0.2872730678964400E-04  0.3689844484653450E-09  0.8928677089633643E-15  0.8240353620032290E-05  0.7894338282915718E-10
  0.5784265264956970E-06  0.8375054994521119E-03  0.2792207545583587E-03  0.3632786130119856E-08  0.1327363936348509E-03  0.1831767154571427E-08  0.5209873451057504E-14  0.6638989501149098E-04  0.9095646236578630E-09  0.2699403537791381E-14  0.1877349412747243E-20  0.2884061966769757E-04  0.3719011593774549E-09  0.9034754475071990E-15  0.8272857125902209E-05  0.7956740648948838E-10
  0.5807081968934359E-06  0.8408089814576935E-03  0.2803221213414849E-03  0.3661502208808098E-08  0.1332599630775333E-03  0.1846246721455875E-08  0.5271769489766578E-14  0.6665176531983948E-04  0.9167544576774552E-09  0.2731473872596201E-14  0.1907146740533049E-20  0.2895437947954844E-04  0.3748409258745958E-09  0.9142092113494121E-15  0.8305488833575431E-05  0.8019636283975555E-10
  0.5829988676042060E-06  0.8441254932021570E-03  0.2814278321838646E-03  0.3690445278092217E-08  0.1337855976058134E-03  0.1860840744271116E-08  0.5334400884696931E-14  0.6691466850856285E-04  0.9240011248296620E-09  0.2763925219186413E-14  0.1937417012551648E-20  0.2906858798784699E-04  0.3778039302015300E-09  0.9250704977307694E-15  0.8338249248663652E-05  0.8083029087081063E-10
  0.5852985741307836E-06  0.8474550860731059E-03  0.2825379042179047E-03  0.3719617132237794E-08  0.1343133053641215E-03  0.1875550127743340E-08  0.5397776372231537E-14  0.6717860865120756E-04  0.9313050743565912E-09  0.2796762104163924E-14  0.1968167735371283E-20  0.2918324696219390E-04  0.3807903560435678E-09  0.9360608216799153E-15  0.8371138878772252E-05  0.8146922988170777E-10
  0.5876073521159907E-06  0.8507978116607725E-03  0.2836523546435684E-03  0.3749019579693141E-08  0.1348430945290025E-03  0.1890375783750126E-08  0.5461904792545443E-14  0.6744358983738264E-04  0.9386667590513740E-09  0.2829989107908664E-14  0.1999406534704379E-20  0.2929835817916767E-04  0.3838003885379571E-09  0.9471817162247020E-15  0.8404158233508183E-05  0.8211321948213957E-10
