        5000          16
      0    0    1    0    1    2    0    1    2    3    0    1    2    0    1    0
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.   6.   1.
    -0.3309144859388732E+04 -0.5722204726659115E+03 -0.5517019702297590E+03 -0.1431065723540902E+03 -0.1331951890515389E+03 -0.1149255627826144E+03 -0.3561503649951684E+02 -0.3109080987735763E+02 -0.2274914074372336E+02 -0.1125371042417260E+02 -0.7575756253802488E+01 -0.5834205379807517E+01 -0.2808270254225956E+01 -0.1127303259820053E+01 -0.6285299294328331E+00 -0.1179115211806004E+00
     0.7342833383432037E+00  0.4704151233419154E+01  0.5817054928341335E+01  0.1290624027021315E+02  0.1485680513590256E+02  0.1733901194990237E+02  0.2580449038794971E+02  0.2852281675480845E+02  0.3357716262826324E+02  0.4070990766405869E+02  0.4240734350072179E+02  0.4582618967227987E+02  0.5320710106645004E+02  0.6022669983699899E+02  0.6413626236600265E+02  0.7591358687683288E+02
  0.5218382731320098E-06  0.8414243422154650E-03  0.2815029047079299E-03  0.3558355041870997E-08  0.1348565810588148E-03  0.1811587526309518E-08  0.5067503521584614E-14  0.6883625812296104E-04  0.9214458420769648E-09  0.2722375407101720E-14  0.1997535532320653E-20  0.3240021576914569E-04  0.4174342521273318E-09  0.1109387973366849E-14  0.1259749072735272E-04  0.1468328648442338E-09  0.2949270096268663E-05
  0.5238967246131787E-06  0.8447432866632834E-03  0.2826132748924927E-03  0.3586482775530789E-08  0.1353885142086470E-03  0.1825907584550105E-08  0.5127708140391953E-14  0.6910777833589996E-04  0.9287295962055319E-09  0.2754718665066226E-14  0.2029240454554050E-20  0.3252801634582938E-04  0.4207339451950004E-09  0.1122568088538218E-14  0.1264718072297474E-04  0.1479935347791114E-09  0.2960903303336919E-05
  0.5259632958945205E-06  0.8480753218758899E-03  0.2837280246607215E-03  0.3614832849246090E-08  0.1359225454387107E-03  0.1840340837923385E-08  0.5188628020652769E-14  0.6938036949392168E-04  0.9360709259040602E-09  0.2787446177364701E-14  0.2061448598373824E-20  0.3265632100063564E-04  0.4240597212009059E-09  0.1135904790172906E-14  0.1269706670863338E-04  0.1491633794104241E-09  0.2972582394745688E-05
  0.5280380190055269E-06  0.8514204994818696E-03  0.2848471712852287E-03  0.3643407020523362E-08  0.1364586830236113E-03  0.1854888181190208E-08  0.5250271660017065E-14  0.6965403582071974E-04  0.9434702862836898E-09  0.2820562509123405E-14  0.2094167950910647E-20  0.3278513172159497E-04  0.4274117863199199E-09  0.1149399938593390E-14  0.1274714945729248E-04  0.1503424712603641E-09  0.2984307551457929E-05
  0.5301209261020335E-06  0.8547788713133868E-03  0.2859707321067355E-03  0.3672207060761248E-08  0.1369969352705822E-03  0.1869550516184047E-08  0.5312647657090706E-14  0.6992878155664239E-04  0.9509281360529798E-09  0.2854072279704326E-14  0.2127406626066861E-20  0.3291445050457705E-04  0.4307903483566206E-09  0.1163055416223610E-14  0.1279742974496386E-04  0.1515308834243742E-09  0.2996078955150173E-05
  0.5322120494667189E-06  0.8581504894069903E-03  0.2870987245343405E-03  0.3701234755360386E-08  0.1375373105196138E-03  0.1884328751866903E-08  0.5375764712634816E-14  0.7020461095875836E-04  0.9584449375463438E-09  0.2887980163349526E-14  0.2161172866528589E-20  0.3304427935332159E-04  0.4341956167581738E-09  0.1176873127851536E-14  0.1284790835071925E-04  0.1527286895756790E-09  0.3007896788215325E-05
  0.5343114215096040E-06  0.8615354060044151E-03  0.2882311660457886E-03  0.3730491903834076E-08  0.1380798171435824E-03  0.1899223804385653E-08  0.5439631630779415E-14  0.7048152830092255E-04  0.9660211567527097E-09  0.2922290889833131E-14  0.2195475045809790E-20  0.3317462027946933E-04  0.4376278026273170E-09  0.1190855000894864E-14  0.1289858605670238E-04  0.1539359639698519E-09  0.3019761233765500E-05
  0.5364190747685548E-06  0.8649336735533949E-03  0.2893680741877430E-03  0.3759980319919845E-08  0.1386244635483796E-03  0.1914236597128839E-08  0.5504257320251493E-14  0.7075953787384243E-04  0.9736572633444067E-09  0.2957009245121083E-14  0.2230321670328752E-20  0.3330547530259325E-04  0.4410871187354454E-09  0.1205002985669866E-14  0.1294946364814111E-04  0.1551527814494180E-09  0.3031672475634848E-05
  0.5385350419097868E-06  0.8683453447084717E-03  0.2905094665760551E-03  0.3789701831691868E-08  0.1391712581730429E-03  0.1929368060783907E-08  0.5569650795617653E-14  0.7103864398514424E-04  0.9813537307062793E-09  0.2992140072038716E-14  0.2265721381517538E-20  0.3343684645022977E-04  0.4445737795358014E-09  0.1219319055663434E-14  0.1300054191335954E-04  0.1563792174484937E-09  0.3043630698382405E-05
