        5000          16
      0    0    1    0    1    2    0    1    2    3    0    1    2    0    1    0
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.   6.   2.
    -0.3388941085768162E+04 -0.5877442413847862E+03 -0.5669428042907765E+03 -0.1478717513863105E+03 -0.1377986843019009E+03 -0.1192287671855517E+03 -0.3734161396049103E+02 -0.3272204117284146E+02 -0.2419783050409624E+02 -0.1243052494887879E+02 -0.8253202057500754E+01 -0.6449905630615952E+01 -0.3296896050020873E+01 -0.1370702586917789E+01 -0.8198380368841590E+00 -0.1487711967261926E+00
     0.7351973964484131E+00  0.4713283499055336E+01  0.5825966008690457E+01  0.1294204095385543E+02  0.1489280977280299E+02  0.1736704476649861E+02  0.2585621236513512E+02  0.2857066051452390E+02  0.3360061455028118E+02  0.4061022274263244E+02  0.4233824246757229E+02  0.4572866199137017E+02  0.5296577919816414E+02  0.5957922271158576E+02  0.6337822498938660E+02  0.7481359789381803E+02
  0.5159082927555097E-06  0.8463026223052879E-03  0.2832867624738882E-03  0.3582356370471645E-08  0.1358741412640636E-03  0.1826524706939178E-08  0.5120824087387905E-14  0.6957942142982843E-04  0.9325344710605557E-09  0.2766234153893735E-14  0.2054236637370108E-20  0.3313122649336810E-04  0.4283748034503377E-09  0.1153886525031764E-14  0.1351105810179943E-04  0.1606925137050418E-09  0.3834325470318812E-05
  0.5179433527425745E-06  0.8496408088166007E-03  0.2844041689711982E-03  0.3610673827464384E-08  0.1364100881149762E-03  0.1840962839130627E-08  0.5181662182684227E-14  0.6985387300285029E-04  0.9399058774888566E-09  0.2799098476939047E-14  0.2086841520987572E-20  0.3326191049505058E-04  0.4317609783080674E-09  0.1167595306503816E-14  0.1356435160543894E-04  0.1619627400240282E-09  0.3849449721644491E-05
  0.5199864402593555E-06  0.8529921619883163E-03  0.2855259828051890E-03  0.3639215124210293E-08  0.1369481488771826E-03  0.1855515099788720E-08  0.5243223065456500E-14  0.7012940708298793E-04  0.9473355523483860E-09  0.2832353244836174E-14  0.2119963910378990E-20  0.3339310994782043E-04  0.4351739197128251E-09  0.1181466955263384E-14  0.1361785531227124E-04  0.1632430070449663E-09  0.3864633626881063E-05
  0.5220375869713732E-06  0.8563567337483427E-03  0.2866522213579283E-03  0.3667982030070325E-08  0.1374883318877243E-03  0.1870182391051926E-08  0.5305515322767492E-14  0.7040602793953434E-04  0.9548239562270661E-09  0.2866003096257704E-14  0.2153612019393641E-20  0.3352482688456191E-04  0.4386138392431279E-09  0.1195503406252159E-14  0.1367157005131537E-04  0.1645333941354651E-09  0.3879877421297207E-05
  0.5240968246690559E-06  0.8597345762293506E-03  0.2877829020800236E-03  0.3696976328391320E-08  0.1380306455165171E-03  0.1884965622189656E-08  0.5368547643698105E-14  0.7068373985861708E-04  0.9623715533535305E-09  0.2900052724985715E-14  0.2187794192250940E-20  0.3365706334617534E-04  0.4420809501499128E-09  0.1209706617399801E-14  0.1372549665485934E-04  0.1658339812904932E-09  0.3895181341089312E-05
  0.5261641852682335E-06  0.8631257417695763E-03  0.2889180424908933E-03  0.3726199816616551E-08  0.1385750981664806E-03  0.1899865709658623E-08  0.5432328820559365E-14  0.7096254714326451E-04  0.9699788116258997E-09  0.2934506880566504E-14  0.2222518905609675E-20  0.3378982138160860E-04  0.4455754673697546E-09  0.1224078569897041E-14  0.1377963595847300E-04  0.1671448491373386E-09  0.3910545623385125E-05
  0.5282397008106312E-06  0.8665302829136353E-03  0.2900576601790376E-03  0.3755654306397156E-08  0.1391216982736687E-03  0.1914883577159662E-08  0.5496867750118869E-14  0.7124245411347259E-04  0.9776462026407870E-09  0.2969370368973085E-14  0.2257794770670075E-20  0.3392310304788891E-04  0.4490976075381915E-09  0.1238621268472037E-14  0.1383398880102098E-04  0.1684660789406061E-09  0.3925970506247423E-05
  0.5303234034643667E-06  0.8699482524133341E-03  0.2912017728023106E-03  0.3785341623704429E-08  0.1396704543073996E-03  0.1930020155694976E-08  0.5562173434841741E-14  0.7152346510627167E-04  0.9853742017225325E-09  0.3004648053275557E-14  0.2293630535309246E-20  0.3405691041015465E-04  0.4526475890031525E-09  0.1253336741670006E-14  0.1388855602467571E-04  0.1697977526072550E-09  0.3941456228677704E-05
  0.5324153255244484E-06  0.8733797032284870E-03  0.2923503980881942E-03  0.3815263608943024E-08  0.1402213747703875E-03  0.1945276383625864E-08  0.5628254984146380E-14  0.7180558447579362E-04  0.9931632879526685E-09  0.3040344854319443E-14  0.2330035086250501E-20  0.3419124554168737E-04  0.4562256318384940E-09  0.1268227042136178E-14  0.1394333847493038E-04  0.1711399526916765E-09  0.3957003030619883E-05
