        5000          14
      0    0    1    0    1    2    0    1    2    3    0    1    2    0
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.
    -0.2778680221271819E+04 -0.4707350513769633E+03 -0.4521803097175930E+03 -0.1131365998621075E+03 -0.1043407716705770E+03 -0.8814535721715956E+02 -0.2557338192776344E+02 -0.2169893344788346E+02 -0.1460961786840713E+02 -0.5012380494120783E+01 -0.4182016848928741E+01 -0.2850879870693340E+01 -0.7142032958981142E+00 -0.2610460142111707E+00
     0.7276260907276964E+00  0.4637270728421399E+01  0.5752314089031998E+01  0.1263694114949530E+02  0.1458676989287342E+02  0.1713103398225049E+02  0.2536596797697870E+02  0.2811886334852627E+02  0.3336895590256928E+02  0.4163723198208784E+02  0.4287855677109263E+02  0.4667901315220807E+02  0.5591929296776392E+02  0.6377605883064779E+02
  0.5674991220310607E-06  0.8064524559482636E-03  0.2686992130914131E-03  0.3385874682445635E-08  0.1275582665565088E-03  0.1704317681768513E-08  0.4684263994804491E-14  0.6357372368039225E-04  0.8427073926659299E-09  0.2411137381367968E-14  0.1597655383993665E-20  0.2720598274269859E-04  0.3377807502538014E-09  0.7671077782107091E-15  0.6952475022672569E-05
  0.5697376880168319E-06  0.8096334560296893E-03  0.2697590799341457E-03  0.3412639010387246E-08  0.1280614119720610E-03  0.1717789803931515E-08  0.4739915525582727E-14  0.6382448616315620E-04  0.8493687428725539E-09  0.2439782967171477E-14  0.1623013398204459E-20  0.2731329499976977E-04  0.3404508061831506E-09  0.7762214238499289E-15  0.6979898615268711E-05
  0.5719850842852911E-06  0.8128270027880820E-03  0.2708231271624626E-03  0.3439614901131328E-08  0.1285665419216665E-03  0.1731368418584302E-08  0.4796228224815830E-14  0.6407623771721237E-04  0.8560827487603129E-09  0.2468768877085384E-14  0.1648773895883931E-20  0.2742103052379701E-04  0.3431419679858238E-09  0.7854433442287869E-15  0.7007430373519726E-05
  0.5742413456685105E-06  0.8160331457062011E-03  0.2718913712633599E-03  0.3466804026994600E-08  0.1290736642321167E-03  0.1745054367506093E-08  0.4853209947502968E-14  0.6432898224335275E-04  0.8628498265506539E-09  0.2498099154323768E-14  0.1674943265247482E-20  0.2752919098410014E-04  0.3458544024950468E-09  0.7947748257032545E-15  0.7035070724019458E-05
  0.5765065071359615E-06  0.8192519344619267E-03  0.2729638287888450E-03  0.3494208073512584E-08  0.1295827867610653E-03  0.1758848499129944E-08  0.4910868641964196E-14  0.6458272365775081E-04  0.8696703957550414E-09  0.2527777890135887E-14  0.1701527995904241E-20  0.2763777805658148E-04  0.3485882778627763E-09  0.8042171699117843E-15  0.7062820095043877E-05
  0.5787806037950568E-06  0.8224834189290254E-03  0.2740405163561925E-03  0.3521828739544089E-08  0.1300939173971498E-03  0.1772751668595331E-08  0.4969212350949139E-14  0.6483746589202223E-04  0.8765448792009603E-09  0.2557809224376859E-14  0.1728534680466384E-20  0.2774679342375165E-04  0.3513437635701234E-09  0.8137716939568715E-15  0.7090678916557721E-05
  0.5810636708916943E-06  0.8257276491779249E-03  0.2751214506482015E-03  0.3549667737376525E-08  0.1306070640601142E-03  0.1786764737801166E-08  0.5028249212758855E-14  0.6509321289328557E-04  0.8834737030581286E-09  0.2588197346085117E-14  0.1755970016183992E-20  0.2785623877475570E-04  0.3541210304378596E-09  0.8234397305887730E-15  0.7118647620221144E-05
  0.5833557438108033E-06  0.8289846754764872E-03  0.2762066484134539E-03  0.3577726792832046E-08  0.1311222347009310E-03  0.1800888575459227E-08  0.5087987462381024E-14  0.6534996862422349E-04  0.8904572968649147E-09  0.2618946494066725E-14  0.1783840806605864E-20  0.2796611580539923E-04  0.3569202506370064E-09  0.8332226283914089E-15  0.7146726639396407E-05
  0.5856568580768932E-06  0.8322545482907890E-03  0.2772961264665736E-03  0.3606007645374532E-08  0.1316394373019247E-03  0.1815124057148007E-08  0.5148435432638620E-14  0.6560773706314413E-04  0.8974960935549649E-09  0.2650060957486639E-14  0.1812153963266681E-20  0.2807642621817465E-04  0.3597415976995073E-09  0.8431217519704733E-15  0.7174916409154573E-05
  0.5879670493546039E-06  0.8355373182859008E-03  0.2783899016884873E-03  0.3634512048217420E-08  0.1321586798768951E-03  0.1829472065366988E-08  0.5209601555352240E-14  0.6586652220404264E-04  0.9045905294840404E-09  0.2681545076466987E-14  0.1840916507400954E-20  0.2818717172228754E-04  0.3625852465289856E-09  0.8531384821437793E-15  0.7203217366282254E-05
  0.5902863534492585E-06  0.8388330363266727E-03  0.2794879910266849E-03  0.3663241768432384E-08  0.1326799704712414E-03  0.1843933489591352E-08  0.5271494362516222E-14  0.6612632805666298E-04  0.9117410444570665E-09  0.2713403242692467E-14  0.1870135571684174E-20  0.2829835403368306E-04  0.3654513734115863E-09  0.8632742161338629E-15  0.7231629949288372E-05
