        2000          11
      0    0    1    0    1    2    0    1    2    0    1
      2.   2.   6.   2.   6.  10.   2.   6.  10.   2.   6.
    -0.1224397777458488E+04 -0.1893401229314863E+03 -0.1777824488356298E+03 -0.4017566301887750E+02 -0.3522166163711714E+02 -0.2611886912838596E+02 -0.7856301677958808E+01 -0.6008338152913939E+01 -0.2777880839382477E+01 -0.9444143706592946E+00 -0.4572900578903393E+00
     0.6970406461851368E+00  0.4360957863454772E+01  0.5494907487286490E+01  0.1163987125354262E+02  0.1360255027170635E+02  0.1654459206412547E+02  0.2179679592718725E+02  0.2439985352305609E+02  0.2987458266300505E+02  0.3506977375309019E+02  0.3838826167340498E+02
  0.8407394400460158E-06  0.6605954742514700E-03  0.2147938483615947E-03  0.2655434602342260E-08  0.9605512023037069E-04  0.1239971901623747E-08  0.3027176439471682E-14  0.4380674597213525E-04  0.5492633409380117E-09  0.1279033406770660E-14  0.1540227707614961E-04  0.1686045982799685E-09
  0.8485635838114039E-06  0.6667428688873014E-03  0.2167926851717895E-03  0.2705088363509729E-08  0.9694899364236692E-04  0.1263158037935315E-08  0.3112480076656669E-14  0.4421440446442669E-04  0.5595339726170103E-09  0.1315075640799648E-14  0.1554560817530711E-04  0.1717573223000362E-09
  0.8564605411296547E-06  0.6729474675373258E-03  0.2188101219736660E-03  0.2755670591004318E-08  0.9785118491099820E-04  0.1286777727442336E-08  0.3200187504293138E-14  0.4462585638523863E-04  0.5699966529031547E-09  0.1352133517078698E-14  0.1569027302879500E-04  0.1749689985126944E-09
  0.8644309896229642E-06  0.6792098024587472E-03  0.2208463318316439E-03  0.2807198645890328E-08  0.9876177143011807E-04  0.1310839077003060E-08  0.3290366459176606E-14  0.4504113703068932E-04  0.5806549728455966E-09  0.1390235655553184E-14  0.1583628404658761E-04  0.1782407292441947E-09
  0.8724756132196596E-06  0.6855304108602544E-03  0.2229014894201275E-03  0.2859690213856170E-08  0.9968083131355985E-04  0.1335350345061009E-08  0.3383086586862606E-14  0.4546028202524984E-04  0.5915125906403599E-09  0.1429411482651972E-14  0.1598365375410681E-04  0.1815736374325251E-09
  0.8805951022128871E-06  0.6919098349480669E-03  0.2249757710384772E-03  0.2913163311284206E-08  0.1006084434018323E-03  0.1360319944479324E-08  0.3478419495453550E-14  0.4588332732479767E-04  0.6025732328858535E-09  0.1469691254013280E-14  0.1613239479329565E-04  0.1849688670128091E-09
  0.8887901533198426E-06  0.6983486219724072E-03  0.2270693546261206E-03  0.2967636291434059E-08  0.1015446872688765E-03  0.1385756445428106E-08  0.3576438810901229E-14  0.4631030921969845E-04  0.6138406958618607E-09  0.1511106077850928E-14  0.1628251992370186E-04  0.1884275833099101E-09
  0.8970614697415573E-06  0.7048473242744064E-03  0.2291824197778037E-03  0.3023127850741549E-08  0.1024896432288872E-03  0.1411668578325742E-08  0.3677220233867691E-14  0.4674126433791641E-04  0.6253188468324413E-09  0.1553687938979018E-14  0.1643404202357152E-04  0.1919509734383773E-09
  0.9054097612232370E-06  0.7114064993334451E-03  0.2313151477589835E-03  0.3079657035235407E-08  0.1034433923431952E-03  0.1438065236835225E-08  0.3780841598188366E-14  0.4717622964815384E-04  0.6370116253731961E-09  0.1597469723513600E-14  0.1658697409095282E-04  0.1955402467098685E-09
  0.9138357441151644E-06  0.7180267098149341E-03  0.2334677215213647E-03  0.3137243247073943E-08  0.1044060164272163E-03  0.1464955480916501E-08  0.3887382930982628E-14  0.4761524246301954E-04  0.6489230447233461E-09  0.1642485244270404E-14  0.1674132924481012E-04  0.1991966350481921E-09
  0.9223401414341676E-06  0.7247085236185395E-03  0.2356403257185797E-03  0.3195906251203966E-08  0.1053775980574625E-03  0.1492348539935886E-08  0.3996926514458196E-14  0.4805834044222685E-04  0.6610571931630936E-09  0.1688769266878245E-14  0.1689712072614837E-04  0.2029213934121077E-09
  0.9309236829256604E-06  0.7314525139268552E-03  0.2378331467220147E-03  0.3255666182144169E-08  0.1063582205786202E-03  0.1520253815833617E-08  0.4109556949457094E-14  0.4850556159582130E-04  0.6734182354167348E-09  0.1736357536628274E-14  0.1705436189914787E-04  0.2067158002260334E-09
  0.9395871051262607E-06  0.7382592592545286E-03  0.2400463726367827E-03  0.3316543550895387E-08  0.1073479681106926E-03  0.1548680886350631E-08  0.4225361220792279E-14  0.4895694428743837E-04  0.6860104140820088E-09  0.1785286806079805E-14  0.1721306625230980E-04  0.2105811578188050E-09
  0.9483311514269914E-06  0.7451293434978407E-03  0.2422801933178455E-03  0.3378559251980020E-08  0.1083469255562097E-03  0.1577639508315679E-08  0.4344428764425349E-14  0.4941252723759134E-04  0.6988380510861699E-09  0.1835594863444043E-14  0.1737324739961210E-04  0.2145187928706400E-09
  0.9571565721370687E-06  0.7520633559847508E-03  0.2445348003862845E-03  0.3441734570613104E-08  0.1093551786075045E-03  0.1607139620993896E-08  0.4466851536537255E-14  0.4987234952698990E-04  0.7119055491692857E-09  0.1887320561767631E-14  0.1753491908167636E-04  0.2185300568684572E-09
  0.9660641245482849E-06  0.7590618915254009E-03  0.2468103872457235E-03  0.3506091190007445E-08  0.1103728137540574E-03  0.1637191349497978E-08  0.4592724084545332E-14  0.5033645059988941E-04  0.7252173933952677E-09  0.1940503848938547E-14  0.1769809516694535E-04  0.2226163265697113E-09
