        2000           8
      0    0    1    0    1    2    1    0
      2.   2.   6.   2.   6.  10.   6.   2.
    -0.5201654681094114E+03 -0.6990308218753577E+02 -0.6300978532371629E+02 -0.1084946644585054E+02 -0.8331501392135635E+01 -0.3825234305275144E+01 -0.5241866810728734E+00 -0.1152935118859880E+01
     0.6566211910943451E+00  0.3958334785136103E+01  0.5112159706385576E+01  0.1089783332652902E+02  0.1296392845313362E+02  0.1693959119888235E+02  0.2421486619835542E+02  0.2127057505716479E+02
  0.1261109160069024E-05  0.5370941688965887E-03  0.1690018016781983E-03  0.2028228400650321E-08  0.6780749457203222E-04  0.8242409352748319E-09  0.1597984758437144E-14  0.2239856596839616E-09  0.2159836731076269E-04
  0.1272845375717106E-05  0.5420922803604480E-03  0.1705745051087983E-03  0.2066154082763019E-08  0.6843850014870870E-04  0.8396533511965061E-09  0.1643014810298014E-14  0.2281739497819061E-09  0.2179935822343520E-04
  0.1284690811694482E-05  0.5471369012898706E-03  0.1721618431861984E-03  0.2104788930061740E-08  0.6907537748961118E-04  0.8553539609803581E-09  0.1689313774156850E-14  0.2324405559274693E-09  0.2200221943851765E-04
  0.1296646484434446E-05  0.5522284644341748E-03  0.1737639520790973E-03  0.2144146202976114E-08  0.6971818122882159E-04  0.8713481534617454E-09  0.1736917406887755E-14  0.2367869425247967E-09  0.2220696835831898E-04
  0.1308713419829490E-05  0.5573674065684603E-03  0.1753809692229440E-03  0.2184239409884578E-08  0.7036696650867197E-04  0.8876414182386211E-09  0.1785862472960346E-14  0.2412146013600474E-09  0.2241362254703841E-04
  0.1320892653319331E-05  0.5625541685310464E-03  0.1770130333317184E-03  0.2225082311750536E-08  0.7102178898447096E-04  0.9042393475555961E-09  0.1836186772832747E-14  0.2457250521133834E-09  0.2262219973227086E-04
  0.1333185229979764E-05  0.5677891952612569E-03  0.1786602844098206E-03  0.2266688926845189E-08  0.7168270482927397E-04  0.9211476382232274E-09  0.1887929172144656E-14  0.2503198428805328E-09  0.2283271780652648E-04
  0.1345592204612336E-05  0.5730729358375554E-03  0.1803228637640703E-03  0.2309073535558681E-08  0.7234977073869805E-04  0.9383720935731935E-09  0.1941129631733034E-14  0.2550005507041038E-09  0.2304519482876421E-04
  0.1358114641834856E-05  0.5784058435160365E-03  0.1820009140158185E-03  0.2352250685301201E-08  0.7302304393578094E-04  0.9559186254500246E-09  0.1995829238493610E-14  0.2597687821148331E-09  0.2325964902593960E-04
  0.1370753616172747E-05  0.5837883757692731E-03  0.1836945791131717E-03  0.2396235195495714E-08  0.7370258217588571E-04  0.9737932562400750E-09  0.2052070237112012E-14  0.2646261736829550E-09  0.2347609879456698E-04
  0.1383510212151251E-05  0.5892209943255256E-03  0.1854040043433287E-03  0.2441042162664052E-08  0.7438844375165098E-04  0.9920021209384313E-09  0.2109896062689051E-14  0.2695743925798786E-09  0.2369456270229624E-04
  0.1396385524388490E-05  0.5947041652083148E-03  0.1871293363450330E-03  0.2486686965608095E-08  0.7508068749798680E-04  0.1010551469254466E-08  0.2169351374285349E-14  0.2746151371503676E-09  0.2391505948950417E-04
  0.1409380657689391E-05  0.6002383587763639E-03  0.1888707231211407E-03  0.2533185270687835E-08  0.7577937279711720E-04  0.1029447667756759E-08  0.2230482089411197E-14  0.2797501374954185E-09  0.2413760807090064E-04
  0.1422496727140487E-05  0.6058240497639094E-03  0.1906283140513052E-03  0.2580553037198117E-08  0.7648455958366958E-04  0.1048697202058125E-08  0.2293335419488316E-14  0.2849811560660363E-09  0.2436222753714970E-04
  0.1435734858205603E-05  0.6114617173213884E-03  0.1924022599047791E-03  0.2628806522845911E-08  0.7719630834981134E-04  0.1068306679041494E-08  0.2357959906310862E-14  0.2903099882681127E-09  0.2458893715650564E-04
  0.1449096186822427E-05  0.6171518450565024E-03  0.1941927128533362E-03  0.2677962289330006E-08  0.7791468015043424E-04  0.1088282829127410E-08  0.2424405459533882E-14  0.2957384630786144E-09  0.2481775637646445E-04
  0.1462581859499986E-05  0.6228949210756655E-03  0.1959998264843123E-03  0.2728037208025013E-08  0.7863973660838695E-04  0.1108632508583927E-08  0.2492723395218123E-14  0.3012684436732913E-09  0.2504870482543046E-04
  0.1476193033417021E-05  0.6286914380258330E-03  0.1978237558137686E-03  0.2779048465771655E-08  0.7937153991975605E-04  0.1129362701879688E-08  0.2562966475461004E-14  0.3069018280661220E-09  0.2528180231439848E-04
  0.1489930876521285E-05  0.6345418931367224E-03  0.1996646572997756E-03  0.2831013570775312E-08  0.8011015285919643E-04  0.1150480524081012E-08  0.2635188949144322E-14  0.3126405497607152E-09  0.2551706883865166E-04
  0.1503796567629764E-05  0.6404467882634269E-03  0.2015226888558223E-03  0.2883950358614864E-08  0.8085563878531089E-04  0.1171993223293785E-08  0.2709446593830192E-14  0.3184865784138902E-09  0.2575452457947504E-04
  0.1517791296529824E-05  0.6464066299294202E-03  0.2033980098643486E-03  0.2937876998363867E-08  0.8160806164607992E-04  0.1193908183151022E-08  0.2785796758837546E-14  0.3244419205116637E-09  0.2599418990588505E-04
  0.1531916264081309E-05  0.6524219293699675E-03  0.2052907811904039E-03  0.2992811998826190E-08  0.8236748598434181E-04  0.1216232925346930E-08  0.2864298409532481E-14  0.3305086200578784E-09  0.2623608537637507E-04
  0.1546172682319584E-05  0.6584932025759346E-03  0.2072011651954328E-03  0.3048774214888236E-08  0.8313397694332367E-04  0.1238975112218350E-08  0.2945012172866647E-14  0.3366887592757032E-09  0.2648023174067722E-04
