        2000           8
      0    0    1    0    1    2    0    1
      2.   2.   6.   2.   6.  10.   2.   1.
    -0.3788184225769994E+03 -0.4816842341655584E+02 -0.4249402908179079E+02 -0.6394656522702291E+01 -0.4482367902817434E+01 -0.1193370440848512E+01 -0.4245915762946376E+00 -0.2084998463333388E+00
     0.6403904971981156E+00  0.3805416227824768E+01  0.4969884619416352E+01  0.1056008741531462E+02  0.1272754196467631E+02  0.1767322135160256E+02  0.2135715989311400E+02  0.2428320081900202E+02
  0.1464513863305963E-05  0.4974343475492527E-03  0.1541633253740628E-03  0.1823110511540226E-08  0.5879679267963264E-04  0.6901200670264772E-09  0.1135297897369476E-14  0.1367895929006465E-04  0.1128157508586624E-09
  0.1478143016961800E-05  0.5020633911304135E-03  0.1555979443442928E-03  0.1857200710501541E-08  0.5934394612197925E-04  0.7030245674628672E-09  0.1167289768960402E-14  0.1380625347265725E-04  0.1149252836425122E-09
  0.1491899007129076E-05  0.5067355098499717E-03  0.1570459130291062E-03  0.1891928355671899E-08  0.5989619105024576E-04  0.7161703667221778E-09  0.1200183146723806E-14  0.1393473217953169E-04  0.1170742621825278E-09
  0.1505783014181937E-05  0.5114511045024011E-03  0.1585073556414946E-03  0.1927305366433079E-08  0.6045357483838114E-04  0.7295619767659720E-09  0.1234003434346279E-14  0.1406440643214489E-04  0.1192634240609876E-09
  0.1519796229479407E-05  0.5162105796106869E-03  0.1599823975499786E-03  0.1963343885040223E-08  0.6101614530104490E-04  0.7432039939222710E-09  0.1268776751366720E-14  0.1419528735448426E-04  0.1214935206517783E-09
  0.1533939855467610E-05  0.5210143434610008E-03  0.1614711652893538E-03  0.2000056280789126E-08  0.6158395069770552E-04  0.7571011004630429E-09  0.1304529953348302E-14  0.1432738617402113E-04  0.1237653173782703E-09
  0.1548215105782952E-05  0.5258628081376938E-03  0.1629737865715359E-03  0.2037455154261445E-08  0.6215703973677661E-04  0.7712580662111819E-09  0.1341290652618862E-14  0.1446071422267307E-04  0.1260795939760155E-09
  0.1562623205356261E-05  0.5307563895586170E-03  0.1644903902965073E-03  0.2075553341649286E-08  0.6273546157979202E-04  0.7856797501775371E-09  0.1379087239595732E-14  0.1459528293777515E-04  0.1284371447603562E-09
  0.1577165390517897E-05  0.5356955075107702E-03  0.1660211065633647E-03  0.2114363919160643E-08  0.6331926584561928E-04  0.8003711022285485E-09  0.1417948904711476E-14  0.1473110386306025E-04  0.1308387788990385E-09
  0.1591842909103835E-05  0.5406805856862802E-03  0.1675660666814702E-03  0.2153900207507215E-08  0.6390850261471231E-04  0.8153371647850622E-09  0.1457905660957466E-14  0.1486818864964844E-04  0.1332853206899216E-09
  0.1606657020562743E-05  0.5457120517187153E-03  0.1691254031817050E-03  0.2194175776476128E-08  0.6450322243340396E-04  0.8305830745529122E-09  0.1498988367062715E-14  0.1500654905704558E-04  0.1357776098438810E-09
  0.1621608996064053E-05  0.5507903372197365E-03  0.1706992498278285E-03  0.2235204449587138E-08  0.6510347631823789E-04  0.8461140642858552E-09  0.1541228751325852E-14  0.1514619695415119E-04  0.1383165017729996E-09
  0.1636700118607035E-05  0.5559158778160884E-03  0.1722877416279426E-03  0.2277000308836912E-08  0.6570931576034115E-04  0.8619354645814722E-09  0.1584659436118659E-14  0.1528714432027567E-04  0.1409028678841491E-09
  0.1651931683130888E-05  0.5610891131869348E-03  0.1738910148460628E-03  0.2319577699532012E-08  0.6632079272983714E-04  0.8780527057106455E-09  0.1629313963080081E-14  0.1542940324616702E-04  0.1435375958780589E-09
  0.1667304996625861E-05  0.5663104871015419E-03  0.1755092070137959E-03  0.2362951235212248E-08  0.6693795968029977E-04  0.8944713194812425E-09  0.1675226819020179E-14  0.1557298593504702E-04  0.1462215900539778E-09
  0.1682821378245400E-05  0.5715804474573096E-03  0.1771424569421275E-03  0.2407135802666080E-08  0.6756086955324878E-04  0.9111969411366470E-09  0.1722433462554021E-14  0.1571790470365711E-04  0.1489557716200317E-09
  0.1698482159419339E-05  0.5768994463181575E-03  0.1787909047333182E-03  0.2452146567039794E-08  0.6818957578268696E-04  0.9282353112897859E-09  0.1770970351486077E-14  0.1586417198331397E-04  0.1517410790093842E-09
  0.1714288683968153E-05  0.5822679399532674E-03  0.1804546917929107E-03  0.2497998977042213E-08  0.6882413229967956E-04  0.9455922778933195E-09  0.1820874970966281E-14  0.1601180032097488E-04  0.1545784682023087E-09
  0.1730242308218267E-05  0.5876863888761852E-03  0.1821339608418475E-03  0.2544708770246705E-08  0.6946459353697609E-04  0.9632737982466659E-09  0.1872185862439483E-14  0.1616080238031297E-04  0.1574689130542819E-09
  0.1746344401118435E-05  0.5931552578842872E-03  0.1838288559287029E-03  0.2592291978492351E-08  0.7011101443367521E-04  0.9812859410405520E-09  0.1924942653410676E-14  0.1631119094280255E-04  0.1604134056302123E-09
  0.1762596344357215E-05  0.5986750160986117E-03  0.1855395224420272E-03  0.2640764933386072E-08  0.7076345043993295E-04  0.9996348884397951E-09  0.1979186088048949E-14  0.1646297890881440E-04  0.1634129565449176E-09
  0.1778999532481521E-05  0.6042461370040614E-03  0.1872661071228061E-03  0.2690144271907646E-08  0.7142195752171448E-04  0.1018326938205023E-08  0.2034958058653834E-14  0.1661617929872130E-04  0.1664685953099681E-09
  0.1795555373016291E-05  0.6098690984899795E-03  0.1890087580770359E-03  0.2740446942119525E-08  0.7208659216559037E-04  0.1037368505854063E-08  0.2092301638008330E-14  0.1677080525401385E-04  0.1695813706870151E-09
