        2000           1
      0
      1.
    -0.5000000000000024E+00
    -0.1656452752740734E-12
  0.4539992976248485E-04  0.9079573731118312E-04
  0.4582243352581581E-04  0.9164066775689725E-04
  0.4624886922100135E-04  0.9249346062499841E-04
  0.4667927343964006E-04  0.9335418907173304E-04
  0.4711368311386162E-04  0.9422292693390579E-04
  0.4755213551949590E-04  0.9509974873520829E-04
  0.4799466827927150E-04  0.9598472969260677E-04
  0.4844131936604409E-04  0.9687794572278876E-04
  0.4889212710605480E-04  0.9777947344867008E-04
  0.4934713018221888E-04  0.9868939020596195E-04
  0.4980636763744505E-04  0.9960777404979928E-04
  0.5026987887798566E-04  0.1005347037614306E-03
  0.5073770367681808E-04  0.1014702588549700E-03
  0.5120988217705754E-04  0.1024145195842120E-03
  0.5168645489540171E-04  0.1033675669495093E-03
  0.5216746272560739E-04  0.1043294827047153E-03
  0.5265294694199949E-04  0.1053003493641900E-03
  0.5314294920301274E-04  0.1062802502098720E-03
  0.5363751155476626E-04  0.1072692692984154E-03
  0.5413667643467148E-04  0.1082674914683939E-03
  0.5464048667507366E-04  0.1092750023475705E-03
  0.5514898550692714E-04  0.1102918883602365E-03
  0.5566221656350502E-04  0.1113182367346169E-03
  0.5618022388414314E-04  0.1123541355103457E-03
  0.5670305191801909E-04  0.1133996735460106E-03
  0.5723074552796627E-04  0.1144549405267674E-03
  0.5776334999432346E-04  0.1155200269720249E-03
  0.5830091101882029E-04  0.1165950242432021E-03
  0.5884347472849874E-04  0.1176800245515568E-03
  0.5939108767967129E-04  0.1187751209660867E-03
  0.5994379686191578E-04  0.1198804074215046E-03
  0.6050164970210748E-04  0.1209959787262873E-03
  0.6106469406848874E-04  0.1221219305707991E-03
  0.6163297827477642E-04  0.1232583595354909E-03
  0.6220655108430764E-04  0.1244053630991757E-03
  0.6278546171422403E-04  0.1255630396473805E-03
  0.6336975983969494E-04  0.1267314884807764E-03
  0.6395949559818006E-04  0.1279108098236860E-03
  0.6455471959373150E-04  0.1291011048326711E-03
  0.6515548290133610E-04  0.1303024756051990E-03
  0.6576183707129801E-04  0.1315150251883899E-03
  0.6637383413366219E-04  0.1327388575878455E-03
  0.6699152660267897E-04  0.1339740777765596E-03
  0.6761496748131016E-04  0.1352207917039106E-03
  0.6824421026577719E-04  0.1364791063047393E-03
  0.6887930895015150E-04  0.1377491295085092E-03
  0.6952031803098762E-04  0.1390309702485532E-03
  0.7016729251199947E-04  0.1403247384714047E-03
  0.7082028790878004E-04  0.1416305451462171E-03
  0.7147936025356518E-04  0.1429485022742694E-03
  0.7214456610004154E-04  0.1442787228985607E-03
  0.7281596252819933E-04  0.1456213211134935E-03
  0.7349360714923026E-04  0.1469764120746474E-03
  0.7417755811047108E-04  0.1483441120086424E-03
  0.7486787410039299E-04  0.1497245382230956E-03
  0.7556461435363767E-04  0.1511178091166683E-03
