        5000          15
      0    0    1    0    1    2    0    1    2    3    0    1    2    0    1
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.   2.
    -0.2925369753929971E+04 -0.4985941551086141E+03 -0.4794813683422907E+03 -0.1212383725628776E+03 -0.1121263679848369E+03 -0.9534394268669789E+02 -0.2821994650382249E+02 -0.2416241016090009E+02 -0.1672091119926748E+02 -0.6582431435653358E+01 -0.5055544092034458E+01 -0.3610691612697234E+01 -0.1220429053680138E+01 -0.4562264077219443E+00 -0.2556974251493740E+00
     0.7295511332273747E+00  0.4656775923213203E+01  0.5771184226267820E+01  0.1271687485316217E+02  0.1466726367844545E+02  0.1719234721345474E+02  0.2550517813676662E+02  0.2824927903922757E+02  0.3343684719480266E+02  0.4132105224644945E+02  0.4275221651204914E+02  0.4642056931943425E+02  0.5477556301192281E+02  0.6219487949719274E+02  0.6649777206596647E+02
  0.5536576800303031E-06  0.8165970845040058E-03  0.2724167369062228E-03  0.3435988267898911E-08  0.1296770691905488E-03  0.1735467647758153E-08  0.4795660154768451E-14  0.6508789037425225E-04  0.8653533343426905E-09  0.2500794851288927E-14  0.1712498294556710E-20  0.2869369548338609E-04  0.3607381621442185E-09  0.8740665045057755E-15  0.8879789355992404E-05  0.8963285213323946E-10
  0.5558416468456897E-06  0.8198180994232848E-03  0.2734912672836300E-03  0.3463148728763675E-08  0.1301885720874346E-03  0.1749186001097225E-08  0.4852635130773438E-14  0.6534462539059562E-04  0.8721936939535020E-09  0.2530505615197748E-14  0.1739679098426211E-20  0.2880687592811225E-04  0.3635896895567532E-09  0.8844508763156351E-15  0.8914815116580366E-05  0.9034137305434836E-10
  0.5580342285710157E-06  0.8230518188482731E-03  0.2745700358833480E-03  0.3490523883725356E-08  0.1307020924824152E-03  0.1763012793298797E-08  0.4910286998434853E-14  0.6560237303542937E-04  0.8790881242531892E-09  0.2560569358073934E-14  0.1767291317078193E-20  0.2892050278542565E-04  0.3664637573122400E-09  0.8949586197375293E-15  0.8949979027715823E-05  0.9105549458952832E-10
  0.5602354591887907E-06  0.8262982928841916E-03  0.2756530594204752E-03  0.3518115429852261E-08  0.1312176383322884E-03  0.1776948881527366E-08  0.4968623799551062E-14  0.6586113730245260E-04  0.8860370526482520E-09  0.2590990273477351E-14  0.1795341797925832E-20  0.2903457781593010E-04  0.3693605435827956E-09  0.9055912004855320E-15  0.8985281634249838E-05  0.9177526100932418E-10
  0.5624453728155722E-06  0.8295575718338332E-03  0.2767403546760202E-03  0.3545925077627152E-08  0.1317352176252274E-03  0.1790995129722868E-08  0.5027653671460571E-14  0.6612092220111227E-04  0.8930409099236197E-09  0.2621772604789218E-14  0.1823837497064409E-20  0.2914910278717170E-04  0.3722802279488958E-09  0.9163501016870538E-15  0.9020723483181933E-05  0.9250071693421664E-10
  0.5646640037024944E-06  0.8328297061983433E-03  0.2778319384971620E-03  0.3573954551053275E-08  0.1322548383809038E-03  0.1805152408654243E-08  0.5087384848177081E-14  0.6638173175666516E-04  0.9001001302693530E-09  0.2652920645804009E-14  0.1852785480996307E-20  0.2926407947366633E-04  0.3752229914105071E-09  0.9272368240897167E-15  0.9056305123668517E-05  0.9323190733738841E-10
  0.5668913862357994E-06  0.8361147466780019E-03  0.2789278277975104E-03  0.3602205587761229E-08  0.1327765086506121E-03  0.1819421595973407E-08  0.5147825661538029E-14  0.6664357001024042E-04  0.9072151513075607E-09  0.2684438741328380E-14  0.1882192928383389E-20  0.2937950965692707E-04  0.3781890163983075E-09  0.9382528862706903E-15  0.9092027107031426E-05  0.9396887754751183E-10
  0.5691275549373691E-06  0.8394127441730070E-03  0.2800280395573684E-03  0.3630679939116679E-08  0.1333002365173941E-03  0.1833803576269657E-08  0.5208984542366769E-14  0.6690644101890179E-04  0.9143864141195276E-09  0.2716331287787214E-14  0.1912067131827183E-20  0.2949539512549172E-04  0.3811784867849944E-09  0.9493998248485129E-15  0.9127889986766434E-05  0.9471167325155889E-10
  0.5713725444652617E-06  0.8427237497842642E-03  0.2811325908239948E-03  0.3659379370328930E-08  0.1338260300961645E-03  0.1848299241124514E-08  0.5270870021648564E-14  0.6717034885571079E-04  0.9216143632730574E-09  0.2748602733836868E-14  0.1942415499677334E-20  0.2961173767495060E-04  0.3841915878966836E-09  0.9606791946974320E-15  0.9163894318551828E-05  0.9546034049763343E-10
  0.5736263896142478E-06  0.8460478148141763E-03  0.2822414987118679E-03  0.3688305660560343E-08  0.1343538975338362E-03  0.1862909489166982E-08  0.5333490731720558E-14  0.6743529760978947E-04  0.9288994468500291E-09  0.2781257580985700E-14  0.1973245557868749E-20  0.2972853910797426E-04  0.3872285065243977E-09  0.9720925691642872E-15  0.9200040660257015E-05  0.9621492569782554E-10
  0.5758891253163498E-06  0.8493849907674393E-03  0.2833547804029509E-03  0.3717460603036632E-08  0.1348838470094462E-03  0.1877635226129261E-08  0.5396855407475862E-14  0.6770129138638387E-04  0.9362421164741766E-09  0.2814300384221975E-14  0.2004564951787907E-20  0.2984580123434143E-04  0.3902894309356438E-09  0.9836415402879724E-15  0.9236329571951157E-05  0.9697547563108853E-10
  0.5781607866413838E-06  0.8527353293518382E-03  0.2844724531469576E-03  0.3746846005158019E-08  0.1354158867342828E-03  0.1892477364902885E-08  0.5460972887581967E-14  0.6796833430692757E-04  0.9436428273390816E-09  0.2847735752649224E-14  0.2036381448168783E-20  0.2996352587096704E-04  0.3933745508860860E-09  0.9953277190215062E-15  0.9272761615911837E-05  0.9774203744613903E-10
