        5000          15
      0    0    1    0    1    2    0    1    2    3    0    1    2    0    1
      2.   2.   6.   2.   6.  10.   2.   6.  10.  14.   2.   6.  10.   2.   6.
    -0.3230312838042456E+04 -0.5569131153310235E+03 -0.5366769712877008E+03 -0.1384218661455506E+03 -0.1286715580189151E+03 -0.1107013498591113E+03 -0.3392074622261521E+02 -0.2949118340144702E+02 -0.2133131776763343E+02 -0.1010763545843017E+02 -0.6905818456816340E+01 -0.5225211766945979E+01 -0.2326319110802364E+01 -0.8739930038674633E+00 -0.4280067697162745E+00
     0.7333568885109969E+00  0.4694893518466316E+01  0.5808048859332132E+01  0.1286972248871714E+02  0.1482016395772304E+02  0.1731051900436933E+02  0.2575015107237375E+02  0.2847286360899037E+02  0.3355222632483243E+02  0.4081586247959875E+02  0.4247618408603127E+02  0.4592901976658796E+02  0.5346778389400010E+02  0.6096088137132550E+02  0.6516160158791557E+02
  0.5279061600288936E-06  0.8365177001232364E-03  0.2797082488230047E-03  0.3534200851347740E-08  0.1338331507471126E-03  0.1796557645693196E-08  0.5013847543738998E-14  0.6809082567076015E-04  0.9103109655859974E-09  0.2678362720487381E-14  0.1940744511090180E-20  0.3166535938432350E-04  0.4063672595850674E-09  0.1064203159577080E-14  0.1165915081179458E-04  0.1314615229652449E-09
  0.5299885469924018E-06  0.8398172906354577E-03  0.2808115401023315E-03  0.3562137653346749E-08  0.1343610470416053E-03  0.1810758897217218E-08  0.5073414701185105E-14  0.6835940557311768E-04  0.9175067018420995E-09  0.2710183084484670E-14  0.1971548044797456E-20  0.3179026136704639E-04  0.4095794713826074E-09  0.1076846455291198E-14  0.1170513958569675E-04  0.1325006870342759E-09
  0.5320791481723638E-06  0.8431298955756011E-03  0.2819191830443138E-03  0.3590295286152191E-08  0.1348910254939408E-03  0.1825072404747722E-08  0.5133689546719909E-14  0.6862904482322194E-04  0.9247593179171688E-09  0.2742381490569985E-14  0.2002840493251117E-20  0.3191565599509678E-04  0.4128170746090470E-09  0.1089639959780794E-14  0.1175130975107155E-04  0.1335480653376841E-09
  0.5341779959707074E-06  0.8464555662711865E-03  0.2830311948114463E-03  0.3618675495340537E-08  0.1354230943159283E-03  0.1839499055622151E-08  0.5194680488018195E-14  0.6889974759902781E-04  0.9320692634227215E-09  0.2774962430065117E-14  0.2034629616503691E-20  0.3204154521141546E-04  0.4160802699731622E-09  0.1102585457598350E-14  0.1179766202330766E-04  0.1346037228056051E-09
  0.5362851229171735E-06  0.8497943542521278E-03  0.2841475926338986E-03  0.3647280040286135E-08  0.1359572617517574E-03  0.1854039744191895E-08  0.5256396032641669E-14  0.6917151809496456E-04  0.9394369915242191E-09  0.2807930447650753E-14  0.2066923297775199E-20  0.3216793096660457E-04  0.4193692597702277E-09  0.1115684754497623E-14  0.1184419712061467E-04  0.1356677248814140E-09
  0.5384005616698202E-06  0.8531463112515287E-03  0.2852683938097814E-03  0.3676110694270286E-08  0.1364935360781261E-03  0.1868695371877732E-08  0.5318844789225650E-14  0.6944436052200077E-04  0.9468629589691641E-09  0.2841290142000409E-14  0.2099729545408061E-20  0.3229481521895778E-04  0.4226842478945589E-09  0.1128939677685530E-14  0.1189091576403415E-04  0.1367401375257819E-09
  0.5405243450155296E-06  0.8565114892064859E-03  0.2863936157054150E-03  0.3705169244591158E-08  0.1370319256043685E-03  0.1883466847225699E-08  0.5382035468679854E-14  0.6971827910770955E-04  0.9543476261154117E-09  0.2875046166421880E-14  0.2133056494853035E-20  0.3242219993449066E-04  0.4260254398521495E-09  0.1142352076077015E-14  0.1193781867745091E-04  0.1378210272207648E-09
  0.5426565058705147E-06  0.8598899402588907E-03  0.2875232757555972E-03  0.3734457492674585E-08  0.1375724386725839E-03  0.1898355085963424E-08  0.5445976885403472E-14  0.6999327809633392E-04  0.9618914569597057E-09  0.2909203229506318E-14  0.2166912410686673E-20  0.3255008708697102E-04  0.4293930427734121E-09  0.1155923820552948E-14  0.1198490658760410E-04  0.1389104609739252E-09
  0.5447970772808309E-06  0.8632817167562383E-03  0.2886573914638741E-03  0.3763977254185737E-08  0.1381150836577655E-03  0.1913361011056885E-08  0.5510677958514651E-14  0.7026936174885264E-04  0.9694949191664446E-09  0.2943766095785023E-14  0.2201305688660800E-20  0.3267847865794955E-04  0.4327872654260169E-09  0.1169656804221094E-14  0.1203218022409853E-04  0.1400085063224851E-09
