376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
6.338567e-02  4.793986e+01  8.399716e-01  2.052007e-01 -7.743569e-02 -2.215878e+01  8.262703e+00  1.725059e+00 -9.321621e-01
6.888423e-02  4.037121e+01 -2.349156e+00  1.448159e+00 -4.319834e-01 -2.219133e+01  8.204712e+00  1.711439e+00 -1.045408e+00
7.445863e-02  3.392652e+01 -5.060905e+00  2.492127e+00 -7.292550e-01 -2.208911e+01  8.087988e+00  1.685384e+00 -1.159596e+00
8.007127e-02  2.848442e+01 -7.329114e+00  3.350345e+00 -9.730351e-01 -2.187112e+01  7.920842e+00  1.648657e+00 -1.273228e+00
8.568391e-02  2.392160e+01 -9.194109e+00  4.039128e+00 -1.168006e+00 -2.155738e+01  7.712167e+00  1.603151e+00 -1.384912e+00
9.125831e-02  2.011864e+01 -1.069987e+01  4.576687e+00 -1.319411e+00 -2.116794e+01  7.470981e+00  1.550782e+00 -1.493410e+00
9.675688e-02  1.696417e+01 -1.189161e+01  4.982081e+00 -1.432748e+00 -2.072203e+01  7.206047e+00  1.493417e+00 -1.597664e+00
1.021433e-01  1.435727e+01 -1.281377e+01  5.274344e+00 -1.513517e+00 -2.023745e+01  6.925570e+00  1.432804e+00 -1.696814e+00
1.073832e-01  1.220871e+01 -1.350858e+01  5.471784e+00 -1.567017e+00 -1.973015e+01  6.636986e+00  1.370528e+00 -1.790206e+00
1.124446e-01  1.044107e+01 -1.401501e+01  5.591488e+00 -1.598197e+00 -1.921401e+01  6.346822e+00  1.307980e+00 -1.877379e+00
1.172985e-01  8.988257e+00 -1.436816e+01  5.648983e+00 -1.611560e+00 -1.870071e+01  6.060635e+00  1.246344e+00 -1.958056e+00
1.219193e-01  7.794589e+00 -1.459896e+01  5.658053e+00 -1.611104e+00 -1.819984e+01  5.783003e+00  1.186596e+00 -2.032120e+00
1.262852e-01  6.813647e+00 -1.473415e+01  5.630676e+00 -1.600306e+00 -1.771895e+01  5.517564e+00  1.129509e+00 -2.099593e+00
1.303784e-01  6.007057e+00 -1.479643e+01  5.577046e+00 -1.582121e+00 -1.726378e+01  5.267079e+00  1.075669e+00 -2.160612e+00
1.341853e-01  5.343316e+00 -1.480474e+01  5.505669e+00 -1.559018e+00 -1.683845e+01  5.033527e+00  1.025495e+00 -2.215401e+00
1.376967e-01  4.796680e+00 -1.477465e+01  5.423499e+00 -1.533008e+00 -1.644566e+01  4.818194e+00  9.792583e-01 -2.264253e+00
1.409077e-01  4.346190e+00 -1.471869e+01  5.336091e+00 -1.505700e+00 -1.608695e+01  4.621775e+00  9.371013e-01 -2.307508e+00
1.438175e-01  3.974811e+00 -1.464680e+01  5.247775e+00 -1.478340e+00 -1.576284e+01  4.444465e+00  8.990615e-01 -2.345539e+00
1.464295e-01  3.668707e+00 -1.456666e+01  5.161823e+00 -1.451867e+00 -1.547308e+01  4.286051e+00  8.650887e-01 -2.378733e+00
1.487507e-01  3.416627e+00 -1.448409e+01  5.080603e+00 -1.426959e+00 -1.521675e+01  4.145989e+00  8.350619e-01 -2.407485e+00
1.507917e-01  3.209407e+00 -1.440334e+01  5.005733e+00 -1.404072e+00 -1.499244e+01  4.023472e+00  8.088050e-01 -2.432187e+00
1.525662e-01  3.039551e+00 -1.432737e+01  4.938210e+00 -1.383480e+00 -1.479836e+01  3.917496e+00  7.860992e-01 -2.453224e+00
1.540902e-01  2.900899e+00 -1.425809e+01  4.878531e+00 -1.365316e+00 -1.463241e+01  3.826905e+00  7.666946e-01 -2.470968e+00
1.553821e-01  2.788360e+00 -1.419662e+01  4.826794e+00 -1.349592e+00 -1.449231e+01  3.750441e+00  7.503198e-01 -2.485775e+00
1.564617e-01  2.697686e+00 -1.414340e+01  4.782791e+00 -1.336234e+00 -1.437565e+01  3.686784e+00  7.366900e-01 -2.497985e+00
1.573500e-01  2.625311e+00 -1.409840e+01  4.746088e+00 -1.325102e+00 -1.427998e+01  3.634580e+00  7.255142e-01 -2.507918e+00
1.580683e-01  2.568209e+00 -1.406123e+01  4.716086e+00 -1.316009e+00 -1.420280e+01  3.592477e+00  7.165019e-01 -2.515878e+00
1.586383e-01  2.523793e+00 -1.403127e+01  4.692085e+00 -1.308740e+00 -1.414170e+01  3.559146e+00  7.093681e-01 -2.522148e+00
1.590810e-01  2.489833e+00 -1.400771e+01  4.673330e+00 -1.303061e+00 -1.409434e+01  3.533308e+00  7.038385e-01 -2.526988e+00
1.594164e-01  2.464401e+00 -1.398969e+01  4.659048e+00 -1.298738e+00 -1.405849e+01  3.513752e+00  6.996537e-01 -2.530639e+00
1.596637e-01  2.445825e+00 -1.397633e+01  4.648486e+00 -1.295542e+00 -1.403209e+01  3.499355e+00  6.965728e-01 -2.533321e+00
1.598401e-01  2.432659e+00 -1.396674e+01  4.640933e+00 -1.293257e+00 -1.401328e+01  3.489092e+00  6.943768e-01 -2.535230e+00
1.599612e-01  2.423663e+00 -1.396014e+01  4.635739e+00 -1.291686e+00 -1.400037e+01  3.482051e+00  6.928702e-01 -2.536538e+00
1.600405e-01  2.417787e+00 -1.395581e+01  4.632333e+00 -1.290655e+00 -1.399191e+01  3.477440e+00  6.918835e-01 -2.537394e+00
1.600896e-01  2.414160e+00 -1.395313e+01  4.630224e+00 -1.290017e+00 -1.398668e+01  3.474588e+00  6.912734e-01 -2.537923e+00
1.601178e-01  2.412077e+00 -1.395158e+01  4.629011e+00 -1.289650e+00 -1.398368e+01  3.472949e+00  6.909226e-01 -2.538227e+00
1.601325e-01  2.410990e+00 -1.395077e+01  4.628377e+00 -1.289459e+00 -1.398211e+01  3.472093e+00  6.907395e-01 -2.538386e+00
1.601392e-01  2.410493e+00 -1.395041e+01  4.628088e+00 -1.289371e+00 -1.398139e+01  3.471702e+00  6.906558e-01 -2.538458e+00
1.601418e-01  2.410307e+00 -1.395027e+01  4.627979e+00 -1.289338e+00 -1.398112e+01  3.471555e+00  6.906244e-01 -2.538485e+00
1.601424e-01  2.410256e+00 -1.395023e+01  4.627950e+00 -1.289329e+00 -1.398105e+01  3.471515e+00  6.906159e-01 -2.538493e+00
1.601425e-01  2.410249e+00 -1.395022e+01  4.627945e+00 -1.289328e+00 -1.398104e+01  3.471509e+00  6.906146e-01 -2.538494e+00
1.601426e-01  2.410248e+00 -1.395022e+01  4.627945e+00 -1.289328e+00 -1.398104e+01  3.471508e+00  6.906144e-01 -2.538494e+00
1.601430e-01  2.410217e+00 -1.395020e+01  4.627927e+00 -1.289323e+00 -1.398099e+01  3.471484e+00  6.906093e-01 -2.538499e+00
1.601458e-01  2.410011e+00 -1.395005e+01  4.627807e+00 -1.289286e+00 -1.398070e+01  3.471322e+00  6.905745e-01 -2.538529e+00
1.601560e-01  2.409254e+00 -1.394948e+01  4.627365e+00 -1.289153e+00 -1.397960e+01  3.470725e+00  6.904469e-01 -2.538639e+00
1.601834e-01  2.407236e+00 -1.394798e+01  4.626187e+00 -1.288796e+00 -1.397669e+01  3.469135e+00  6.901066e-01 -2.538934e+00
