376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
1.751145e-01 -1.098571e+01  1.190893e+00 -2.239603e+00
1.795059e-01 -1.053764e+01  1.050099e+00 -2.253425e+00
1.847607e-01 -1.002601e+01  8.885871e-01 -2.268489e+00
1.909597e-01 -9.455045e+00  7.074095e-01 -2.284285e+00
1.981774e-01 -8.832041e+00  5.086116e-01 -2.300128e+00
2.064794e-01 -8.167164e+00  2.952157e-01 -2.315171e+00
2.159211e-01 -7.472949e+00  7.112398e-02 -2.328441e+00
2.265454e-01 -6.763562e+00 -1.590594e-01 -2.338885e+00
2.383811e-01 -6.053888e+00 -3.902756e-01 -2.345439e+00
2.514418e-01 -5.358542e+00 -6.173045e-01 -2.347094e+00
2.657247e-01 -4.690928e+00 -8.350764e-01 -2.342969e+00
2.812096e-01 -4.062443e+00 -1.038969e+00 -2.332374e+00
2.978589e-01 -3.481921e+00 -1.225059e+00 -2.314859e+00
3.156174e-01 -2.955348e+00 -1.390313e+00 -2.290239e+00
3.344127e-01 -2.485862e+00 -1.532689e+00 -2.258611e+00
3.541562e-01 -2.073984e+00 -1.651163e+00 -2.220333e+00
3.747436e-01 -1.718027e+00 -1.745680e+00 -2.176001e+00
3.960570e-01 -1.414608e+00 -1.817038e+00 -2.126402e+00
4.179666e-01 -1.159176e+00 -1.866740e+00 -2.072461e+00
4.403322e-01 -9.465184e-01 -1.896812e+00 -2.015188e+00
4.630064e-01 -7.711827e-01 -1.909628e+00 -1.955624e+00
4.858360e-01 -6.278134e-01 -1.907741e+00 -1.894790e+00
5.086657e-01 -5.113870e-01 -1.893734e+00 -1.833645e+00
5.313398e-01 -4.173590e-01 -1.870104e+00 -1.773062e+00
5.537055e-01 -3.417358e-01 -1.839174e+00 -1.713801e+00
5.756150e-01 -2.810909e-01 -1.803037e+00 -1.656502e+00
5.969285e-01 -2.325414e-01 -1.763519e+00 -1.601684e+00
6.175159e-01 -1.937005e-01 -1.722175e+00 -1.549744e+00
6.372593e-01 -1.626182e-01 -1.680292e+00 -1.500972e+00
6.560547e-01 -1.377184e-01 -1.638904e+00 -1.455557e+00
6.738132e-01 -1.177378e-01 -1.598820e+00 -1.413604e+00
6.904625e-01 -1.016706e-01 -1.560649e+00 -1.375145e+00
7.059474e-01 -8.871952e-02 -1.524825e+00 -1.340151e+00
7.202302e-01 -7.825474e-02 -1.491642e+00 -1.308547e+00
7.332910e-01 -6.977940e-02 -1.461272e+00 -1.280217e+00
7.451267e-01 -6.290174e-02 -1.433789e+00 -1.255016e+00
7.557510e-01 -5.731262e-02 -1.409192e+00 -1.232778e+00
7.651927e-01 -5.276755e-02 -1.387415e+00 -1.213319e+00
7.734947e-01 -4.907255e-02 -1.368348e+00 -1.196445e+00
7.807123e-01 -4.607300e-02 -1.351843e+00 -1.181954e+00
7.869114e-01 -4.364488e-02 -1.337726e+00 -1.169640e+00
7.921662e-01 -4.168803e-02 -1.325806e+00 -1.159298e+00
7.965576e-01 -4.012081e-02 -1.315879e+00 -1.150722e+00
8.001706e-01 -3.887605e-02 -1.307737e+00 -1.143712e+00
8.030926e-01 -3.789792e-02 -1.301168e+00 -1.138072e+00
8.054110e-01 -3.713955e-02 -1.295967e+00 -1.133617e+00
8.072115e-01 -3.656117e-02 -1.291935e+00 -1.130168e+00
8.085761e-01 -3.612888e-02 -1.288883e+00 -1.127562e+00
8.095818e-01 -3.581358e-02 -1.286636e+00 -1.125644e+00
8.102992e-01 -3.559034e-02 -1.285035e+00 -1.124278e+00
8.107917e-01 -3.543792e-02 -1.283936e+00 -1.123342e+00
8.111144e-01 -3.533841e-02 -1.283216e+00 -1.122728e+00
8.113140e-01 -3.527700e-02 -1.282771e+00 -1.122349e+00
8.114287e-01 -3.524174e-02 -1.282515e+00 -1.122131e+00
8.114887e-01 -3.522334e-02 -1.282381e+00 -1.122017e+00
8.115160e-01 -3.521494e-02 -1.282320e+00 -1.121965e+00
8.115263e-01 -3.521179e-02 -1.282297e+00 -1.121946e+00
8.115291e-01 -3.521093e-02 -1.282291e+00 -1.121940e+00
8.115295e-01 -3.521081e-02 -1.282290e+00 -1.121940e+00
8.115296e-01 -3.521079e-02 -1.282290e+00 -1.121940e+00
8.115308e-01 -3.521040e-02 -1.282287e+00 -1.121937e+00
8.115394e-01 -3.520777e-02 -1.282268e+00 -1.121921e+00
8.115709e-01 -3.519812e-02 -1.282198e+00 -1.121861e+00
8.116547e-01 -3.517241e-02 -1.282011e+00 -1.121702e+00
8.118383e-01 -3.511619e-02 -1.281602e+00 -1.121353e+00
8.121899e-01 -3.500878e-02 -1.280818e+00 -1.120686e+00
8.128014e-01 -3.482274e-02 -1.279456e+00 -1.119527e+00
8.137899e-01 -3.452411e-02 -1.277256e+00 -1.117655e+00
8.152987e-01 -3.407329e-02 -1.273901e+00 -1.114805e+00
8.174968e-01 -3.342711e-02 -1.269021e+00 -1.110664e+00
8.205780e-01 -3.254210e-02 -1.262197e+00 -1.104885e+00
8.247587e-01 -3.137896e-02 -1.252970e+00 -1.097091e+00
8.302747e-01 -2.990824e-02 -1.240852e+00 -1.086891e+00
8.373776e-01 -2.811636e-02 -1.225346e+00 -1.073894e+00
8.463297e-01 -2.601137e-02 -1.205965e+00 -1.057733e+00
8.573988e-01 -2.362696e-02 -1.182260e+00 -1.038086e+00
8.708525e-01 -2.102351e-02 -1.153852e+00 -1.014701e+00
8.869516e-01 -1.828527e-02 -1.120462e+00 -9.874190e-01
9.059434e-01 -1.551320e-02 -1.081952e+00 -9.561987e-01
9.280559e-01 -1.281428e-02 -1.038352e+00 -9.211310e-01
9.534907e-01 -1.028913e-02 -9.898909e-01 -8.824494e-01
9.824170e-01 -8.020186e-03 -9.370061e-01 -8.405304e-01
1.014966e+00 -6.063071e-03 -8.803442e-01 -7.958822e-01
1.051227e+00 -4.442754e-03 -8.207388e-01 -7.491235e-01
1.091241e+00 -3.154952e-03 -7.591703e-01 -7.009523e-01
1.134999e+00 -2.171864e-03 -6.967100e-01 -6.521090e-01
1.182440e+00 -1.450390e-03 -6.344548e-01 -6.033354e-01
1.233448e+00 -9.407159e-04 -5.734601e-01 -5.553368e-01
