376 3
 0 0 1
 2 2 3
 -1.394601e+01 -6.288419e-01 -2.210049e-01
1.751145e-01 -1.054331e+01  1.936695e+00 -1.002916e+00
1.795059e-01 -1.024017e+01  1.850427e+00 -1.014593e+00
1.847607e-01 -9.889297e+00  1.750101e+00 -1.027997e+00
1.909597e-01 -9.491393e+00  1.635691e+00 -1.043039e+00
1.981774e-01 -9.048987e+00  1.507666e+00 -1.059539e+00
2.064794e-01 -8.566478e+00  1.367021e+00 -1.077228e+00
2.159211e-01 -8.050024e+00  1.215264e+00 -1.095748e+00
2.265454e-01 -7.507285e+00  1.054378e+00 -1.114668e+00
2.383811e-01 -6.947048e+00  8.867343e-01 -1.133497e+00
2.514418e-01 -6.378751e+00  7.149931e-01 -1.151715e+00
2.657247e-01 -5.811965e+00  5.419687e-01 -1.168791e+00
2.812096e-01 -5.255881e+00  3.704933e-01 -1.184219e+00
2.978589e-01 -4.718839e+00  2.032794e-01 -1.197543e+00
3.156174e-01 -4.207964e+00  4.279709e-02 -1.208381e+00
3.344127e-01 -3.728911e+00 -1.088269e-01 -1.216443e+00
3.541562e-01 -3.285747e+00 -2.498801e-01 -1.221544e+00
3.747436e-01 -2.880955e+00 -3.791041e-01 -1.223608e+00
3.960570e-01 -2.515537e+00 -4.957020e-01 -1.222661e+00
4.179666e-01 -2.189208e+00 -5.993184e-01 -1.218827e+00
4.403322e-01 -1.900632e+00 -6.899962e-01 -1.212311e+00
4.630064e-01 -1.647675e+00 -7.681188e-01 -1.203382e+00
4.858360e-01 -1.427655e+00 -8.343430e-01 -1.192355e+00
5.086657e-01 -1.237574e+00 -8.895293e-01 -1.179575e+00
5.313398e-01 -1.074306e+00 -9.346763e-01 -1.165400e+00
5.537055e-01 -9.347480e-01 -9.708599e-01 -1.150189e+00
5.756150e-01 -8.159316e-01 -9.991827e-01 -1.134284e+00
5.969285e-01 -7.150974e-01 -1.020732e+00 -1.118010e+00
6.175159e-01 -6.297371e-01 -1.036545e+00 -1.101661e+00
6.372593e-01 -5.576130e-01 -1.047592e+00 -1.085499e+00
6.560547e-01 -4.967584e-01 -1.054755e+00 -1.069751e+00
6.738132e-01 -4.454659e-01 -1.058820e+00 -1.054606e+00
6.904625e-01 -4.022682e-01 -1.060477e+00 -1.040216e+00
7.059474e-01 -3.659137e-01 -1.060321e+00 -1.026702e+00
7.202302e-01 -3.353421e-01 -1.058854e+00 -1.014149e+00
7.332910e-01 -3.096586e-01 -1.056492e+00 -1.002614e+00
7.451267e-01 -2.881105e-01 -1.053574e+00 -9.921266e-01
7.557510e-01 -2.700656e-01 -1.050369e+00 -9.826935e-01
7.651927e-01 -2.549928e-01 -1.047086e+00 -9.743008e-01
7.734947e-01 -2.424453e-01 -1.043881e+00 -9.669174e-01
7.807123e-01 -2.320463e-01 -1.040866e+00 -9.604979e-01
7.869114e-01 -2.234764e-01 -1.038113e+00 -9.549854e-01
7.921662e-01 -2.164635e-01 -1.035667e+00 -9.503143e-01
7.965576e-01 -2.107743e-01 -1.033546e+00 -9.464124e-01
8.001706e-01 -2.062072e-01 -1.031751e+00 -9.432035e-01
8.030926e-01 -2.025870e-01 -1.030266e+00 -9.406094e-01
8.054110e-01 -1.997606e-01 -1.029067e+00 -9.385519e-01
8.072115e-01 -1.975932e-01 -1.028124e+00 -9.369546e-01
8.085761e-01 -1.959663e-01 -1.027402e+00 -9.357443e-01
8.095818e-01 -1.947760e-01 -1.026866e+00 -9.348525e-01
8.102992e-01 -1.939314e-01 -1.026481e+00 -9.342164e-01
8.107917e-01 -1.933537e-01 -1.026217e+00 -9.337798e-01
8.111144e-01 -1.929762e-01 -1.026043e+00 -9.334938e-01
8.113140e-01 -1.927431e-01 -1.025935e+00 -9.333168e-01
8.114287e-01 -1.926092e-01 -1.025873e+00 -9.332151e-01
8.114887e-01 -1.925393e-01 -1.025841e+00 -9.331620e-01
8.115160e-01 -1.925074e-01 -1.025826e+00 -9.331377e-01
8.115263e-01 -1.924954e-01 -1.025820e+00 -9.331286e-01
