376 7
 0 0 0 0 1 1 2
 2 2 2 2 6 6 2
 -1.771945e+02 -1.939841e+01 -2.210700e+00 -1.351671e-01 -1.622420e+01 -1.376303e+00 -1.274214e-01
0.000000e+00 -2.015103e+02 -5.911410e+01 -2.196390e+01  5.934457e+00  7.494093e-07 -2.658549e-07 -7.093684e-09
3.278564e-09 -2.015103e+02 -5.911409e+01 -2.196390e+01  5.934456e+00 -3.228539e-07  1.176871e-07 -7.093663e-09
1.046582e-07 -2.015098e+02 -5.911396e+01 -2.196385e+01  5.934443e+00 -3.347931e-05  1.197755e-05 -7.093573e-09
7.915214e-07 -2.015068e+02 -5.911307e+01 -2.196352e+01  5.934353e+00 -2.581176e-04  9.232927e-05 -7.126025e-09
3.316517e-06 -2.014956e+02 -5.910978e+01 -2.196230e+01  5.934024e+00 -1.083887e-03  3.877019e-04 -7.740155e-09
1.004733e-05 -2.014658e+02 -5.910103e+01 -2.195905e+01  5.933145e+00 -3.284895e-03  1.174989e-03 -1.317813e-08
2.477810e-05 -2.014005e+02 -5.908188e+01 -2.195193e+01  5.931222e+00 -8.100787e-03  2.897604e-03 -4.436435e-08
5.299135e-05 -2.012755e+02 -5.904521e+01 -2.193831e+01  5.927541e+00 -1.732012e-02  6.195302e-03 -1.779742e-07
1.020609e-04 -2.010583e+02 -5.898148e+01 -2.191463e+01  5.921143e+00 -3.334109e-02  1.192591e-02 -6.414393e-07
1.813877e-04 -2.007078e+02 -5.887857e+01 -2.187639e+01  5.910811e+00 -5.920435e-02  2.117703e-02 -2.010630e-06
3.024627e-04 -2.001739e+02 -5.872178e+01 -2.181813e+01  5.895068e+00 -9.859197e-02  3.526573e-02 -5.574544e-06
4.788527e-04 -1.993987e+02 -5.849394e+01 -2.173345e+01  5.872190e+00 -1.557868e-01  5.572393e-02 -1.394570e-05
7.261078e-04 -1.983171e+02 -5.817574e+01 -2.161519e+01  5.840236e+00 -2.355862e-01  8.426762e-02 -3.200108e-05
1.061591e-03 -1.968591e+02 -5.774620e+01 -2.145552e+01  5.797091e+00 -3.431666e-01  1.227482e-01 -6.823091e-05
1.504231e-03 -1.949520e+02 -5.718330e+01 -2.124623e+01  5.740540e+00 -4.838946e-01  1.730850e-01 -1.365466e-04
2.074209e-03 -1.925237e+02 -5.646485e+01 -2.097905e+01  5.668340e+00 -6.630879e-01  2.371794e-01 -2.585507e-04
2.792580e-03 -1.895067e+02 -5.556951e+01 -2.064597e+01  5.578331e+00 -8.857295e-01  3.168126e-01 -4.662023e-04
3.680838e-03 -1.858424e+02 -5.447792e+01 -2.023971e+01  5.468542e+00 -1.156148e+00  4.135302e-01 -8.047207e-04
4.760448e-03 -1.814851e+02 -5.317389e+01 -1.975415e+01  5.337314e+00 -1.477679e+00  5.285206e-01 -1.335476e-03
6.052333e-03 -1.764069e+02 -5.164565e+01 -1.918478e+01  5.183423e+00 -1.852334e+00  6.624952e-01 -2.138517e-03
7.576358e-03 -1.706012e+02 -4.988697e+01 -1.852910e+01  5.006191e+00 -2.280500e+00  8.155793e-01 -3.314328e-03
9.350803e-03 -1.640852e+02 -4.789807e+01 -1.778699e+01  4.805579e+00 -2.760707e+00  9.872256e-01 -4.984364e-03
1.139185e-02 -1.569020e+02 -4.568627e+01 -1.696098e+01  4.582261e+00 -3.289479e+00  1.176160e+00 -7.289962e-03
1.371307e-02 -1.491201e+02 -4.326630e+01 -1.605632e+01  4.337650e+00 -3.861310e+00  1.380369e+00 -1.038933e-02
1.632504e-02 -1.408314e+02 -4.066007e+01 -1.508097e+01  4.073890e+00 -4.468768e+00  1.597134e+00 -1.445247e-02
1.923484e-02 -1.321477e+02 -3.789614e+01 -1.404538e+01  3.793800e+00 -5.102732e+00  1.823114e+00 -1.965414e-02
2.244580e-02 -1.231957e+02 -3.500859e+01 -1.296212e+01  3.500775e+00 -5.752756e+00  2.054473e+00 -2.616512e-02
2.595722e-02 -1.141104e+02 -3.203567e+01 -1.184539e+01  3.198649e+00 -6.407531e+00  2.287049e+00 -3.414253e-02
2.976415e-02 -1.050285e+02 -2.901808e+01 -1.071040e+01  2.891534e+00 -7.055418e+00  2.516540e+00 -4.371972e-02
3.385735e-02 -9.608171e+01 -2.599722e+01 -9.572703e+00  2.583643e+00 -7.684993e+00  2.738712e+00 -5.499674e-02
3.822326e-02 -8.739098e+01 -2.301336e+01 -8.447565e+00  2.279107e+00 -8.285583e+00  2.949588e+00 -6.803224e-02
4.284407e-02 -7.906123e+01 -2.010406e+01 -7.349313e+00  1.981810e+00 -8.847732e+00  3.145630e+00 -8.283747e-02
4.769797e-02 -7.117827e+01 -1.730274e+01 -6.290829e+00  1.695248e+00 -9.363577e+00  3.323879e+00 -9.937298e-02
5.275935e-02 -6.380687e+01 -1.463770e+01 -5.283132e+00  1.422416e+00 -9.827100e+00  3.482057e+00 -1.175483e-01
5.799924e-02 -5.699053e+01 -1.213147e+01 -4.335113e+00  1.165733e+00 -1.023427e+01  3.618626e+00 -1.372245e-01
6.338567e-02 -5.075254e+01 -9.800500e+00 -3.453397e+00  9.270062e-01 -1.058303e+01  3.732795e+00 -1.582195e-01
6.888423e-02 -4.509805e+01 -7.655275e+00 -2.642344e+00  7.074293e-01 -1.087321e+01  3.824492e+00 -1.803159e-01
7.445863e-02 -4.001686e+01 -5.700676e+00 -1.904163e+00  5.076119e-01 -1.110633e+01  3.894297e+00 -2.032695e-01
8.007127e-02 -3.548652e+01 -3.936586e+00 -1.239111e+00  3.276331e-01 -1.128533e+01  3.943350e+00 -2.268191e-01
