376 5
 0 0 0 1 1
 2 2 2 6 5
 -1.002866e+02 -9.125222e+00 -7.064384e-01 -6.976378e+00 -2.745678e-01
1.580683e-01 -9.924716e+00 -2.674776e+00  9.754204e-01 -7.096474e+00  1.924365e+00
1.586383e-01 -9.833555e+00 -2.708832e+00  9.861665e-01 -7.092567e+00  1.922557e+00
1.590810e-01 -9.763346e+00 -2.735038e+00  9.944283e-01 -7.089479e+00  1.921136e+00
1.594164e-01 -9.710473e+00 -2.754760e+00  1.000642e+00 -7.087108e+00  1.920050e+00
1.596637e-01 -9.671690e+00 -2.769219e+00  1.005195e+00 -7.085345e+00  1.919245e+00
1.598401e-01 -9.644119e+00 -2.779494e+00  1.008429e+00 -7.084078e+00  1.918667e+00
1.599612e-01 -9.625240e+00 -2.786527e+00  1.010642e+00 -7.083204e+00  1.918270e+00
1.600405e-01 -9.612891e+00 -2.791128e+00  1.012090e+00 -7.082630e+00  1.918009e+00
1.600896e-01 -9.605261e+00 -2.793970e+00  1.012984e+00 -7.082274e+00  1.917847e+00
1.601178e-01 -9.600876e+00 -2.795603e+00  1.013497e+00 -7.082069e+00  1.917754e+00
1.601325e-01 -9.598588e+00 -2.796455e+00  1.013766e+00 -7.081962e+00  1.917705e+00
1.601392e-01 -9.597542e+00 -2.796844e+00  1.013888e+00 -7.081913e+00  1.917683e+00
1.601418e-01 -9.597150e+00 -2.796990e+00  1.013934e+00 -7.081894e+00  1.917675e+00
1.601424e-01 -9.597044e+00 -2.797030e+00  1.013946e+00 -7.081889e+00  1.917672e+00
1.601425e-01 -9.597028e+00 -2.797036e+00  1.013948e+00 -7.081889e+00  1.917672e+00
1.601426e-01 -9.597025e+00 -2.797037e+00  1.013949e+00 -7.081888e+00  1.917672e+00
1.601430e-01 -9.596961e+00 -2.797061e+00  1.013956e+00 -7.081885e+00  1.917671e+00
1.601458e-01 -9.596527e+00 -2.797222e+00  1.014007e+00 -7.081865e+00  1.917661e+00
1.601560e-01 -9.594932e+00 -2.797816e+00  1.014194e+00 -7.081790e+00  1.917627e+00
1.601834e-01 -9.590682e+00 -2.799399e+00  1.014692e+00 -7.081591e+00  1.917537e+00
1.602433e-01 -9.581387e+00 -2.802860e+00  1.015780e+00 -7.081154e+00  1.917339e+00
1.603581e-01 -9.563610e+00 -2.809479e+00  1.017861e+00 -7.080316e+00  1.916959e+00
1.605577e-01 -9.532772e+00 -2.820957e+00  1.021470e+00 -7.078850e+00  1.916295e+00
