376 7
 0 0 0 0 1 1 2
 2 2 2 2 6 6 1
 -1.601013e+02 -1.714581e+01 -1.941141e+00 -1.256208e-01 -1.417782e+01 -1.186780e+00 -8.993616e-02
0.000000e+00 -1.877442e+02 -5.460167e+01 -2.004272e+01  5.476906e+00  3.953343e-07 -1.377519e-07 -5.076434e-09
3.278564e-09 -1.877442e+02 -5.460166e+01 -2.004272e+01  5.476905e+00 -5.431803e-07  1.915486e-07 -5.076419e-09
1.046582e-07 -1.877438e+02 -5.460155e+01 -2.004268e+01  5.476894e+00 -2.956387e-05  1.037416e-05 -5.076382e-09
7.915214e-07 -1.877411e+02 -5.460076e+01 -2.004239e+01  5.476815e+00 -2.261820e-04  7.936237e-05 -5.100356e-09
3.316517e-06 -1.877312e+02 -5.459787e+01 -2.004132e+01  5.476524e+00 -9.489506e-04  3.329632e-04 -5.551114e-09
1.004733e-05 -1.877046e+02 -5.459015e+01 -2.003849e+01  5.475750e+00 -2.875429e-03  1.008915e-03 -9.538104e-09
2.477810e-05 -1.876466e+02 -5.457326e+01 -2.003229e+01  5.474056e+00 -7.090685e-03  2.487939e-03 -3.239650e-08
5.299135e-05 -1.875354e+02 -5.454093e+01 -2.002043e+01  5.470813e+00 -1.516036e-02  5.319378e-03 -1.303191e-07
1.020609e-04 -1.873423e+02 -5.448474e+01 -1.999980e+01  5.465177e+00 -2.918405e-02  1.023993e-02 -4.699855e-07
1.813877e-04 -1.870305e+02 -5.439400e+01 -1.996649e+01  5.456074e+00 -5.182447e-02  1.818386e-02 -1.473458e-06
3.024627e-04 -1.865556e+02 -5.425573e+01 -1.991573e+01  5.442203e+00 -8.630743e-02  3.028304e-02 -4.085542e-06
4.788527e-04 -1.858659e+02 -5.405479e+01 -1.984195e+01  5.422043e+00 -1.363876e-01  4.785486e-02 -1.022141e-05
7.261078e-04 -1.849034e+02 -5.377411e+01 -1.973889e+01  5.393880e+00 -2.062755e-01  7.237665e-02 -2.345697e-05
1.061591e-03 -1.836056e+02 -5.339514e+01 -1.959972e+01  5.355848e+00 -3.005214e-01  1.054449e-01 -5.001923e-05
1.504231e-03 -1.819073e+02 -5.289835e+01 -1.941726e+01  5.305983e+00 -4.238548e-01  1.487188e-01 -1.001153e-04
2.074209e-03 -1.797439e+02 -5.226405e+01 -1.918422e+01  5.242297e+00 -5.809796e-01  2.038484e-01 -1.896039e-04
2.792580e-03 -1.770542e+02 -5.147318e+01 -1.889358e+01  5.162865e+00 -7.763301e-01  2.723886e-01 -3.419631e-04
3.680838e-03 -1.737848e+02 -5.050836e+01 -1.853888e+01  5.065920e+00 -1.013796e+00  3.557023e-01 -5.904426e-04
4.760448e-03 -1.698933e+02 -4.935491e+01 -1.811463e+01  4.949963e+00 -1.296435e+00  4.548583e-01 -9.802195e-04
6.052333e-03 -1.653526e+02 -4.800191e+01 -1.761672e+01  4.813861e+00 -1.626179e+00  5.705291e-01 -1.570308e-03
7.576358e-03 -1.601539e+02 -4.644320e+01 -1.704274e+01  4.656954e+00 -2.003583e+00  7.028987e-01 -2.434921e-03
9.350803e-03 -1.543097e+02 -4.467818e+01 -1.639230e+01  4.479133e+00 -2.427608e+00  8.515870e-01 -3.663963e-03
1.139185e-02 -1.478547e+02 -4.271244e+01 -1.566730e+01  4.280904e+00 -2.895492e+00  1.015601e+00 -5.362351e-03
1.371307e-02 -1.408463e+02 -4.055800e+01 -1.487195e+01  4.063420e+00 -3.402714e+00  1.193322e+00 -7.647933e-03
1.632504e-02 -1.333632e+02 -3.823324e+01 -1.401285e+01  3.828473e+00 -3.943068e+00  1.382525e+00 -1.064790e-02
1.923484e-02 -1.255019e+02 -3.576240e+01 -1.309875e+01  3.578453e+00 -4.508850e+00  1.580448e+00 -1.449373e-02
2.244580e-02 -1.173730e+02 -3.317473e+01 -1.214031e+01  3.316267e+00 -5.091157e+00  1.783891e+00 -1.931489e-02
2.595722e-02 -1.090954e+02 -3.050332e+01 -1.114963e+01  3.045226e+00 -5.680270e+00  1.989353e+00 -2.523169e-02
2.976415e-02 -1.007908e+02 -2.778367e+01 -1.013981e+01  2.768906e+00 -6.266095e+00  2.193187e+00 -3.234786e-02
3.385735e-02 -9.257796e+01 -2.505218e+01 -9.124326e+00  2.490996e+00 -6.838635e+00  2.391768e+00 -4.074339e-02
3.822326e-02 -8.456679e+01 -2.234457e+01 -8.116511e+00  2.215148e+00 -7.388446e+00  2.581659e+00 -5.046834e-02
4.284407e-02 -7.685442e+01 -1.969447e+01 -7.129001e+00  1.944822e+00 -7.907044e+00  2.759759e+00 -6.153809e-02
4.769797e-02 -6.952176e+01 -1.713217e+01 -6.173276e+00  1.683170e+00 -8.387243e+00  2.923432e+00 -7.393055e-02
5.275935e-02 -6.263164e+01 -1.468371e+01 -5.259297e+00  1.432925e+00 -8.823393e+00  3.070592e+00 -8.758546e-02
5.799924e-02 -5.622825e+01 -1.237023e+01 -4.395244e+00  1.196338e+00 -9.211516e+00  3.199764e+00 -1.024059e-01
6.338567e-02 -5.033776e+01 -1.020765e+01 -3.587388e+00  9.751352e-01 -9.549330e+00  3.310098e+00 -1.182617e-01
6.888423e-02 -4.496995e+01 -8.206712e+00 -2.840058e+00  7.705139e-01 -9.836189e+00  3.401350e+00 -1.349949e-01
7.445863e-02 -4.012037e+01 -6.373204e+00 -2.155720e+00  5.831585e-01 -1.007293e+01  3.473838e+00 -1.524257e-01
8.007127e-02 -3.577302e+01 -4.708447e+00 -1.535128e+00  4.132838e-01 -1.026169e+01  3.528367e+00 -1.703599e-01
8.568391e-02 -3.190302e+01 -3.209893e+00 -9.775347e-01  2.606920e-01 -1.040561e+01  3.566143e+00 -1.885963e-01
9.125831e-02 -2.847929e+01 -1.871819e+00 -4.809421e-01  1.248399e-01 -1.050865e+01  3.588681e+00 -2.069331e-01
9.675688e-02 -2.546684e+01 -6.860324e-01 -4.235948e-02  4.910604e-03 -1.057527e+01  3.597708e+00 -2.251747e-01
1.021433e-01 -2.282887e+01  3.574344e-01  3.419359e-01 -1.001157e-01 -1.061023e+01  3.595070e+00 -2.431371e-01
1.073832e-01 -2.052831e+01  1.269695e+00  6.761566e-01 -1.913950e-01 -1.061836e+01  3.582659e+00 -2.606521e-01
1.124446e-01 -1.852913e+01  2.062456e+00  9.647889e-01 -2.701599e-01 -1.060440e+01  3.562337e+00 -2.775703e-01
1.172985e-01 -1.679720e+01  2.747553e+00  1.212409e+00 -3.376690e-01 -1.057286e+01  3.535883e+00 -2.937636e-01
1.219193e-01 -1.530080e+01  3.336588e+00  1.423534e+00 -3.951654e-01 -1.052790e+01  3.504951e+00 -3.091260e-01
1.262852e-01 -1.401104e+01  3.840653e+00  1.602504e+00 -4.438446e-01 -1.047331e+01  3.471038e+00 -3.235739e-01
1.303784e-01 -1.290187e+01  4.270133e+00  1.753401e+00 -4.848313e-01 -1.041239e+01  3.435469e+00 -3.370456e-01
1.341853e-01 -1.195010e+01  4.634586e+00  1.879993e+00 -5.191635e-01 -1.034801e+01  3.399385e+00 -3.494999e-01
1.376967e-01 -1.113527e+01  4.942679e+00  1.985698e+00 -5.477836e-01 -1.028259e+01  3.363741e+00 -3.609151e-01
1.409077e-01 -1.043942e+01  5.202173e+00  2.073577e+00 -5.715349e-01 -1.021808e+01  3.329315e+00 -3.712872e-01
1.438175e-01 -9.846872e+00  5.419940e+00  2.146332e+00 -5.911619e-01 -1.015604e+01  3.296714e+00 -3.806275e-01
1.464295e-01 -9.343985e+00  5.602006e+00  2.206324e+00 -6.073145e-01 -1.009764e+01  3.266388e+00 -3.889612e-01
1.487507e-01 -8.918899e+00  5.753618e+00  2.255593e+00 -6.205538e-01 -1.004374e+01  3.238647e+00 -3.963254e-01
1.507917e-01 -8.561301e+00  5.879312e+00  2.295887e+00 -6.313600e-01 -9.994873e+00  3.213672e+00 -4.027668e-01
1.525662e-01 -8.262208e+00  5.982994e+00  2.328690e+00 -6.401406e-01 -9.951323e+00  3.191540e+00 -4.083403e-01
