376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 5 10
 -4.800903e+02 -6.163955e+01 -8.347907e+00 -6.731164e-01 -5.560571e+01 -6.237922e+00 -2.511993e-01 -2.462343e+00
0.000000e+00  4.076382e+02  1.274260e+02 -5.087740e+01  1.697489e+01  3.753435e-05 -1.555808e-05  4.270824e-06 -1.672756e-06
3.278564e-09  4.076381e+02  1.274260e+02 -5.087739e+01  1.697488e+01  3.365121e-05 -1.399542e-05  3.843389e-06 -1.672750e-06
1.046582e-07  4.076367e+02  1.274256e+02 -5.087721e+01  1.697482e+01 -8.642316e-05  3.432503e-05 -9.373706e-06 -1.672584e-06
7.915214e-07  4.076269e+02  1.274225e+02 -5.087599e+01  1.697442e+01 -8.999346e-04  3.616991e-04 -9.892036e-05 -1.671841e-06
3.316517e-06  4.075909e+02  1.274112e+02 -5.087149e+01  1.697292e+01 -3.890337e-03  1.565100e-03 -4.280866e-04 -1.674792e-06
1.004733e-05  4.074949e+02  1.273812e+02 -5.085951e+01  1.696892e+01 -1.186049e-02  4.772455e-03 -1.305395e-03 -1.726301e-06
2.477810e-05  4.072848e+02  1.273155e+02 -5.083329e+01  1.696017e+01 -2.929705e-02  1.178929e-02 -3.224711e-03 -2.060439e-06
5.299135e-05  4.068828e+02  1.271898e+02 -5.078310e+01  1.694342e+01 -6.266749e-02  2.521826e-02 -6.897937e-03 -3.548426e-06
1.020609e-04  4.061846e+02  1.269715e+02 -5.069590e+01  1.691433e+01 -1.206281e-01  4.854283e-02 -1.327791e-02 -8.787814e-06
1.813877e-04  4.050584e+02  1.266190e+02 -5.055516e+01  1.686737e+01 -2.141179e-01  8.616506e-02 -2.356872e-02 -2.436609e-05
3.024627e-04  4.033456e+02  1.260826e+02 -5.034092e+01  1.679589e+01 -3.563092e-01  1.433857e-01 -3.922029e-02 -6.502665e-05
4.788527e-04  4.008633e+02  1.253042e+02 -5.003002e+01  1.669215e+01 -5.623847e-01  2.263144e-01 -6.190377e-02 -1.606132e-04
7.261078e-04  3.974096e+02  1.242194e+02 -4.959664e+01  1.654755e+01 -8.491098e-01  3.416974e-01 -9.346442e-02 -3.667047e-04
1.061591e-03  3.927715e+02  1.227592e+02 -4.901311e+01  1.635283e+01 -1.234178e+00  4.966531e-01 -1.358493e-01 -7.797075e-04
1.504231e-03  3.867353e+02  1.208531e+02 -4.825105e+01  1.609853e+01 -1.735316e+00  6.983115e-01 -1.910086e-01 -1.556775e-03
2.074209e-03  3.791001e+02  1.184323e+02 -4.728279e+01  1.577539e+01 -2.369163e+00  9.533594e-01 -2.607711e-01 -2.940249e-03
2.792580e-03  3.696934e+02  1.154348e+02 -4.608307e+01  1.537498e+01 -3.149951e+00  1.267507e+00 -3.466979e-01 -5.285345e-03
3.680838e-03  3.583870e+02  1.118093e+02 -4.463089e+01  1.489024e+01 -4.088077e+00  1.644904e+00 -4.499231e-01 -9.088662e-03
4.760448e-03  3.451137e+02  1.075206e+02 -4.291146e+01  1.431623e+01 -5.188653e+00  2.087546e+00 -5.709907e-01 -1.501387e-02
6.052333e-03  3.298814e+02  1.025540e+02 -4.091803e+01  1.365063e+01 -6.450196e+00  2.594731e+00 -7.097051e-01 -2.390992e-02
7.576358e-03  3.127825e+02  9.691890e+01 -3.865343e+01  1.289436e+01 -7.863592e+00  3.162625e+00 -8.650117e-01 -3.681662e-02
9.350803e-03  2.939991e+02  9.065176e+01 -3.613119e+01  1.205188e+01 -9.411521e+00  3.784000e+00 -1.034925e+00 -5.495256e-02
1.139185e-02  2.737989e+02  8.381661e+01 -3.337596e+01  1.113136e+01 -1.106846e+01  4.448212e+00 -1.216522e+00 -7.968153e-02
1.371307e-02  2.525253e+02  7.650400e+01 -3.042316e+01  1.014459e+01 -1.280136e+01  5.141442e+00 -1.406004e+00 -1.124559e-01
1.632504e-02  2.305784e+02  6.882767e+01 -2.731783e+01  9.106584e+00 -1.457099e+01  5.847226e+00 -1.598847e+00 -1.547377e-01
1.923484e-02  2.083918e+02  6.091940e+01 -2.411272e+01  8.034946e+00 -1.633393e+01  6.547233e+00 -1.790008e+00 -2.079033e-01
2.244580e-02  1.864045e+02  5.292216e+01 -2.086563e+01  6.949003e+00 -1.804498e+01  7.222250e+00 -1.974197e+00 -2.731370e-01
2.595722e-02  1.650343e+02  4.498240e+01 -1.763647e+01  5.868808e+00 -1.965982e+01  7.853287e+00 -2.146184e+00 -3.513274e-01
2.976415e-02  1.446522e+02  3.724216e+01 -1.448403e+01  4.814087e+00 -2.113767e+01  8.422683e+00 -2.301096e+00 -4.429739e-01
3.385735e-02  1.255640e+02  2.983161e+01 -1.146300e+01  3.803215e+00 -2.244363e+01  8.915139e+00 -2.434708e+00 -5.481173e-01
3.822326e-02  1.079976e+02  2.286286e+01 -8.621276e+00  2.852339e+00 -2.355056e+01  9.318554e+00 -2.543674e+00 -6.663021e-01
4.284407e-02  9.209867e+01  1.642544e+01 -5.998005e+00  1.974681e+00 -2.444028e+01  9.624607e+00 -2.625687e+00 -7.965742e-01
4.769797e-02  7.793328e+01  1.058363e+01 -3.622232e+00  1.180101e+00 -2.510402e+01  9.829042e+00 -2.679563e+00 -9.375164e-01
5.275935e-02  6.549628e+01  5.375869e+00 -1.512407e+00  4.749079e-01 -2.554222e+01  9.931648e+00 -2.705235e+00 -1.087318e+00
5.799924e-02  5.472376e+01  8.158992e-01  3.233929e-01 -1.380790e-01 -2.576361e+01  9.935964e+00 -2.703678e+00 -1.243867e+00
