376 6
 0 0 0 0 1 1
 2 2 2 2 6 6
 -1.438486e+02 -1.498114e+01 -1.655845e+00 -1.113595e-01 -1.221829e+01 -9.813918e-01
1.464295e-01  1.000701e+01  4.647172e+00 -1.823478e+00 -4.987129e-01 -9.387879e+00  2.988894e+00
1.487507e-01  9.573051e+00  4.807076e+00 -1.876621e+00 -5.129679e-01 -9.347272e+00  2.968094e+00
1.507917e-01  9.207226e+00  4.940542e+00 -1.920580e+00 -5.247452e-01 -9.310108e+00  2.949250e+00
1.525662e-01  8.900693e+00  5.051323e+00 -1.956756e+00 -5.344263e-01 -9.276741e+00  2.932465e+00
1.540902e-01  8.645672e+00  5.142680e+00 -1.986353e+00 -5.423380e-01 -9.247330e+00  2.917761e+00
1.553821e-01  8.435291e+00  5.217444e+00 -2.010400e+00 -5.487598e-01 -9.221872e+00  2.905095e+00
1.564617e-01  8.263455e+00  5.278079e+00 -2.029777e+00 -5.539299e-01 -9.200239e+00  2.894374e+00
1.573500e-01  8.124733e+00  5.326729e+00 -2.045237e+00 -5.580517e-01 -9.182201e+00  2.885461e+00
1.580683e-01  8.014268e+00  5.365269e+00 -2.057426e+00 -5.612992e-01 -9.167458e+00  2.878194e+00
1.586383e-01  7.927703e+00  5.395341e+00 -2.066900e+00 -5.638219e-01 -9.155665e+00  2.872392e+00
1.590810e-01  7.861130e+00  5.418389e+00 -2.074138e+00 -5.657483e-01 -9.146448e+00  2.867863e+00
1.594164e-01  7.811050e+00  5.435680e+00 -2.079554e+00 -5.671894e-01 -9.139430e+00  2.864418e+00
1.596637e-01  7.774348e+00  5.448326e+00 -2.083508e+00 -5.682412e-01 -9.134238e+00  2.861872e+00
1.598401e-01  7.748271e+00  5.457298e+00 -2.086309e+00 -5.689861e-01 -9.130525e+00  2.860052e+00
1.599612e-01  7.730423e+00  5.463432e+00 -2.088222e+00 -5.694949e-01 -9.127972e+00  2.858801e+00
1.600405e-01  7.718752e+00  5.467440e+00 -2.089472e+00 -5.698271e-01 -9.126298e+00  2.857980e+00
1.600896e-01  7.711541e+00  5.469915e+00 -2.090243e+00 -5.700321e-01 -9.125261e+00  2.857473e+00
1.601178e-01  7.707398e+00  5.471337e+00 -2.090686e+00 -5.701499e-01 -9.124665e+00  2.857181e+00
1.601325e-01  7.705236e+00  5.472079e+00 -2.090917e+00 -5.702113e-01 -9.124353e+00  2.857028e+00
1.601392e-01  7.704248e+00  5.472418e+00 -2.091022e+00 -5.702393e-01 -9.124211e+00  2.856958e+00
1.601418e-01  7.703878e+00  5.472545e+00 -2.091062e+00 -5.702499e-01 -9.124157e+00  2.856932e+00
1.601424e-01  7.703777e+00  5.472579e+00 -2.091073e+00 -5.702527e-01 -9.124143e+00  2.856925e+00
1.601425e-01  7.703762e+00  5.472585e+00 -2.091074e+00 -5.702532e-01 -9.124141e+00  2.856924e+00
1.601426e-01  7.703760e+00  5.472585e+00 -2.091075e+00 -5.702532e-01 -9.124140e+00  2.856924e+00
1.601430e-01  7.703699e+00  5.472606e+00 -2.091081e+00 -5.702549e-01 -9.124132e+00  2.856920e+00
1.601458e-01  7.703289e+00  5.472747e+00 -2.091125e+00 -5.702666e-01 -9.124073e+00  2.856891e+00
1.601560e-01  7.701783e+00  5.473264e+00 -2.091286e+00 -5.703094e-01 -9.123855e+00  2.856784e+00
1.601834e-01  7.697768e+00  5.474641e+00 -2.091715e+00 -5.704234e-01 -9.123276e+00  2.856501e+00
1.602433e-01  7.688988e+00  5.477652e+00 -2.092652e+00 -5.706725e-01 -9.122008e+00  2.855880e+00
1.603581e-01  7.672201e+00  5.483404e+00 -2.094441e+00 -5.711481e-01 -9.119577e+00  2.854690e+00
1.605577e-01  7.643092e+00  5.493368e+00 -2.097537e+00 -5.719710e-01 -9.115340e+00  2.852617e+00
1.608803e-01  7.596271e+00  5.509364e+00 -2.102499e+00 -5.732894e-01 -9.108471e+00  2.849258e+00
1.613728e-01  7.525367e+00  5.533515e+00 -2.109969e+00 -5.752733e-01 -9.097937e+00  2.844112e+00
1.620903e-01  7.423265e+00  5.568132e+00 -2.120630e+00 -5.781030e-01 -9.082487e+00  2.836575e+00
1.630960e-01  7.282497e+00  5.615540e+00 -2.135138e+00 -5.819501e-01 -9.060623e+00  2.825932e+00
1.644606e-01  7.095806e+00  5.677812e+00 -2.154019e+00 -5.869504e-01 -9.030585e+00  2.811347e+00
1.662611e-01  6.856865e+00  5.756442e+00 -2.177548e+00 -5.931694e-01 -8.990318e+00  2.791860e+00
1.685795e-01  6.561124e+00  5.851944e+00 -2.205594e+00 -6.005614e-01 -8.937454e+00  2.766376e+00
1.715015e-01  6.206678e+00  5.963439e+00 -2.237461e+00 -6.089259e-01 -8.869301e+00  2.733669e+00
1.751145e-01  5.795039e+00  6.088270e+00 -2.271746e+00 -6.178676e-01 -8.782858e+00  2.692387e+00
1.795059e-01  5.331665e+00  6.221722e+00 -2.306226e+00 -6.267681e-01 -8.674880e+00  2.641083e+00
1.847607e-01  4.826080e+00  6.356929e+00 -2.337832e+00 -6.347766e-01 -8.541987e+00  2.578262e+00
1.909597e-01  4.291494e+00  6.485035e+00 -2.362712e+00 -6.408293e-01 -8.380858e+00  2.502456e+00
1.981774e-01  3.743873e+00  6.595656e+00 -2.376421e+00 -6.437002e-01 -8.188483e+00  2.412332e+00
2.064794e-01  3.200555e+00  6.677627e+00 -2.374225e+00 -6.420865e-01 -7.962476e+00  2.306820e+00
2.159211e-01  2.678593e+00  6.719982e+00 -2.351507e+00 -6.347194e-01 -7.701406e+00  2.185250e+00
2.265454e-01  2.193102e+00  6.713045e+00 -2.304222e+00 -6.204908e-01 -7.405112e+00  2.047493e+00
2.383811e-01  1.755875e+00  6.649473e+00 -2.229346e+00 -5.985778e-01 -7.074938e+00  1.894065e+00
2.514418e-01  1.374525e+00  6.525090e+00 -2.125255e+00 -5.685468e-01 -6.713845e+00  1.726191e+00
2.657247e-01  1.052237e+00  6.339382e+00 -1.991957e+00 -5.304209e-01 -6.326371e+00  1.545811e+00
2.812096e-01  7.881208e-01  6.095569e+00 -1.831168e+00 -4.847000e-01 -5.918418e+00  1.355508e+00
2.978589e-01  5.780281e-01  5.800251e+00 -1.646191e+00 -4.323295e-01 -5.496904e+00  1.158384e+00
3.156174e-01  4.156033e-01  5.462708e+00 -1.441644e+00 -3.746247e-01 -5.069309e+00  9.578734e-01
3.344127e-01  2.933680e-01  5.093972e+00 -1.223061e+00 -3.131606e-01 -4.643185e+00  7.575425e-01
3.541562e-01  2.036587e-01  4.705812e+00 -9.964421e-01 -2.496442e-01 -4.225687e+00  5.608731e-01
3.747436e-01  1.393196e-01  4.309789e+00 -7.677941e-01 -1.857867e-01 -3.823178e+00  3.710708e-01
3.960570e-01  9.412408e-02  3.916469e+00 -5.427310e-01 -1.231886e-01 -3.440947e+00  1.909083e-01
4.179666e-01  6.295287e-02  3.534862e+00 -3.261580e-01 -6.324870e-02 -3.083042e+00  2.261689e-02
4.403322e-01  4.179082e-02  3.172111e+00 -1.220624e-01 -7.103008e-03 -2.752235e+00 -1.321719e-01
4.630064e-01  2.761102e-02  2.833400e+00  6.658685e-02  4.440598e-02 -2.450071e+00 -2.724341e-01
4.858360e-01  1.820687e-02  2.522046e+00  2.378440e-01  9.073241e-02 -2.177008e+00 -3.977204e-01
5.086657e-01  1.201552e-02  2.239707e+00  3.907141e-01  1.316077e-01 -1.932593e+00 -5.080908e-01
5.313398e-01  7.957352e-03  1.986680e+00  5.250268e-01  1.670055e-01 -1.715665e+00 -6.040287e-01
5.537055e-01  5.302185e-03  1.762201e+00  6.412817e-01  1.970966e-01 -1.524549e+00 -6.863457e-01
5.756150e-01  3.564216e-03  1.564754e+00  7.404833e-01  2.222022e-01 -1.357247e+00 -7.560868e-01
5.969285e-01  2.423716e-03  1.392339e+00  8.239841e-01  2.427468e-01 -1.211587e+00 -8.144418e-01
6.175159e-01  1.671509e-03  1.242691e+00  8.933446e-01  2.592170e-01 -1.085353e+00 -8.626700e-01
6.372593e-01  1.171345e-03  1.113453e+00  9.502170e-01  2.721266e-01 -9.763793e-01 -9.020378e-01
6.560547e-01  8.350840e-04  1.002305e+00  9.962545e-01  2.819889e-01 -8.826125e-01 -9.337717e-01
6.738132e-01  6.062244e-04  9.070457e-01  1.033044e+00  2.892956e-01 -8.021563e-01 -9.590240e-01
6.904625e-01  4.487158e-04  8.256433e-01  1.062061e+00  2.945030e-01 -7.332914e-01 -9.788508e-01
7.059474e-01  3.393213e-04  7.562631e-01  1.084642e+00  2.980231e-01 -6.744818e-01 -9.941993e-01
7.202302e-01  2.626526e-04  6.972734e-01  1.101969e+00  3.002186e-01 -6.243718e-01 -1.005903e+00
7.332910e-01  2.082265e-04  6.472407e-01  1.115070e+00  3.014023e-01 -5.817752e-01 -1.014684e+00
7.451267e-01  1.688610e-04  6.049170e-01  1.124821e+00  3.018379e-01 -5.456607e-01 -1.021154e+00
7.557510e-01  1.397613e-04  5.692222e-01  1.131956e+00  3.017434e-01 -5.151361e-01 -1.025829e+00
7.651927e-01  1.178595e-04  5.392253e-01  1.137082e+00  3.012947e-01 -4.894309e-01 -1.029130e+00
7.734947e-01  1.012373e-04  5.141249e-01  1.140690e+00  3.006307e-01 -4.678804e-01 -1.031401e+00
7.807123e-01  8.864707e-05  4.932314e-01  1.143173e+00  2.998575e-01 -4.499105e-01 -1.032916e+00
7.869114e-01  7.918343e-05  4.759496e-01  1.144840e+00  2.990537e-01 -4.350239e-01 -1.033889e+00
7.921662e-01  7.211621e-05  4.617643e-01  1.145926e+00  2.982746e-01 -4.227880e-01 -1.034483e+00
7.965576e-01  6.683852e-05  4.502274e-01  1.146611e+00  2.975569e-01 -4.128249e-01 -1.034823e+00
8.001706e-01  6.286606e-05  4.409470e-01  1.147026e+00  2.969219e-01 -4.048026e-01 -1.034998e+00
8.030926e-01  5.983952e-05  4.335786e-01  1.147265e+00  2.963797e-01 -3.984280e-01 -1.035071e+00
8.054110e-01  5.751102e-05  4.278181e-01  1.147395e+00  2.959316e-01 -3.934411e-01 -1.035086e+00
8.072115e-01  5.571710e-05  4.233963e-01  1.147460e+00  2.955728e-01 -3.896111e-01 -1.035073e+00
8.085761e-01  5.434871e-05  4.200748e-01  1.147488e+00  2.952946e-01 -3.867330e-01 -1.035048e+00
8.095818e-01  5.332686e-05  4.176431e-01  1.147498e+00  2.950861e-01 -3.846253e-01 -1.035022e+00
8.102992e-01  5.258729e-05  4.159168e-01  1.147499e+00  2.949357e-01 -3.831286e-01 -1.034999e+00
8.107917e-01  5.207315e-05  4.147359e-01  1.147496e+00  2.948315e-01 -3.821047e-01 -1.034981e+00
8.111144e-01  5.173297e-05  4.139640e-01  1.147494e+00  2.947630e-01 -3.814353e-01 -1.034968e+00
8.113140e-01  5.152111e-05  4.134872e-01  1.147491e+00  2.947204e-01 -3.810218e-01 -1.034960e+00
8.114287e-01  5.139877e-05  4.132133e-01  1.147490e+00  2.946959e-01 -3.807842e-01 -1.034955e+00
8.114887e-01  5.133474e-05  4.130704e-01  1.147489e+00  2.946830e-01 -3.806603e-01 -1.034953e+00
8.115160e-01  5.130544e-05  4.130051e-01  1.147489e+00  2.946772e-01 -3.806036e-01 -1.034952e+00
8.115263e-01  5.129445e-05  4.129806e-01  1.147489e+00  2.946750e-01 -3.805824e-01 -1.034951e+00
8.115291e-01  5.129145e-05  4.129739e-01  1.147489e+00  2.946744e-01 -3.805766e-01 -1.034951e+00
8.115295e-01  5.129101e-05  4.129729e-01  1.147489e+00  2.946743e-01 -3.805758e-01 -1.034951e+00
8.115296e-01  5.129096e-05  4.129728e-01  1.147489e+00  2.946743e-01 -3.805756e-01 -1.034951e+00
8.115308e-01  5.128981e-05  4.129698e-01  1.147489e+00  2.946740e-01 -3.805730e-01 -1.034951e+00
8.115394e-01  5.128199e-05  4.129494e-01  1.147488e+00  2.946722e-01 -3.805553e-01 -1.034951e+00
8.115709e-01  5.125327e-05  4.128744e-01  1.147488e+00  2.946654e-01 -3.804903e-01 -1.034949e+00
8.116547e-01  5.117677e-05  4.126744e-01  1.147487e+00  2.946474e-01 -3.803169e-01 -1.034946e+00
8.118383e-01  5.100975e-05  4.122372e-01  1.147484e+00  2.946080e-01 -3.799377e-01 -1.034938e+00
8.121899e-01  5.069137e-05  4.114012e-01  1.147477e+00  2.945322e-01 -3.792124e-01 -1.034921e+00
8.128014e-01  5.014230e-05  4.099510e-01  1.147463e+00  2.943996e-01 -3.779543e-01 -1.034891e+00
8.137899e-01  4.926704e-05  4.076171e-01  1.147433e+00  2.941830e-01 -3.759292e-01 -1.034837e+00
8.152987e-01  4.796015e-05  4.040801e-01  1.147370e+00  2.938472e-01 -3.728591e-01 -1.034743e+00
8.174968e-01  4.611725e-05  3.989810e-01  1.147240e+00  2.933467e-01 -3.684309e-01 -1.034578e+00
