376 3
 0 0 1
 2 2 1
 -6.502185e+00 -3.053774e-01 -1.000419e-01
1.751145e-01 -8.755626e+00  1.751232e+00 -3.942933e-01
1.795059e-01 -8.574632e+00  1.705624e+00 -4.003586e-01
1.847607e-01 -8.363259e+00  1.652166e+00 -4.074370e-01
1.909597e-01 -8.120994e+00  1.590627e+00 -4.155421e-01
1.981774e-01 -7.848270e+00  1.520999e+00 -4.246538e-01
2.064794e-01 -7.546534e+00  1.443515e+00 -4.347158e-01
2.159211e-01 -7.218252e+00  1.358657e+00 -4.456347e-01
2.265454e-01 -6.866848e+00  1.267148e+00 -4.572814e-01
2.383811e-01 -6.496573e+00  1.169936e+00 -4.694949e-01
2.514418e-01 -6.112327e+00  1.068154e+00 -4.820886e-01
2.657247e-01 -5.719424e+00  9.630741e-01 -4.948574e-01
2.812096e-01 -5.323345e+00  8.560572e-01 -5.075871e-01
2.978589e-01 -4.929484e+00  7.484908e-01 -5.200634e-01
3.156174e-01 -4.542914e+00  6.417342e-01 -5.320821e-01
3.344127e-01 -4.168189e+00  5.370654e-01 -5.434565e-01
3.541562e-01 -3.809197e+00  4.356377e-01 -5.540255e-01
3.747436e-01 -3.469066e+00  3.384457e-01 -5.636584e-01
3.960570e-01 -3.150126e+00  2.463033e-01 -5.722589e-01
4.179666e-01 -2.853924e+00  1.598334e-01 -5.797659e-01
4.403322e-01 -2.581272e+00  7.946751e-02 -5.861532e-01
4.630064e-01 -2.332333e+00  5.455566e-03 -5.914274e-01
4.858360e-01 -2.106725e+00 -6.211834e-02 -5.956238e-01
5.086657e-01 -1.903625e+00 -1.233145e-01 -5.988023e-01
5.313398e-01 -1.721885e+00 -1.783136e-01 -6.010421e-01
5.537055e-01 -1.560127e+00 -2.273914e-01 -6.024363e-01
5.756150e-01 -1.416839e+00 -2.708947e-01 -6.030870e-01
5.969285e-01 -1.290448e+00 -3.092181e-01 -6.031004e-01
6.175159e-01 -1.179377e+00 -3.427841e-01 -6.025831e-01
6.372593e-01 -1.082097e+00 -3.720261e-01 -6.016382e-01
6.560547e-01 -9.971568e-01 -3.973744e-01 -6.003634e-01
6.738132e-01 -9.232011e-01 -4.192453e-01 -5.988485e-01
6.904625e-01 -8.589865e-01 -4.380337e-01 -5.971742e-01
7.059474e-01 -8.033835e-01 -4.541071e-01 -5.954117e-01
7.202302e-01 -7.553761e-01 -4.678030e-01 -5.936219e-01
7.332910e-01 -7.140566e-01 -4.794274e-01 -5.918555e-01
7.451267e-01 -6.786180e-01 -4.892545e-01 -5.901537e-01
7.557510e-01 -6.483455e-01 -4.975278e-01 -5.885484e-01
7.651927e-01 -6.226063e-01 -5.044622e-01 -5.870627e-01
7.734947e-01 -6.008409e-01 -5.102457e-01 -5.857124e-01
7.807123e-01 -5.825531e-01 -5.150424e-01 -5.845062e-01
7.869114e-01 -5.673023e-01 -5.189949e-01 -5.834470e-01
7.921662e-01 -5.546953e-01 -5.222271e-01 -5.825328e-01
7.965576e-01 -5.443803e-01 -5.248466e-01 -5.817575e-01
8.001706e-01 -5.360411e-01 -5.269470e-01 -5.811122e-01
8.030926e-01 -5.293927e-01 -5.286100e-01 -5.805854e-01
8.054110e-01 -5.241778e-01 -5.299069e-01 -5.801643e-01
8.072115e-01 -5.201643e-01 -5.309006e-01 -5.798355e-01
8.085761e-01 -5.171435e-01 -5.316458e-01 -5.795852e-01
8.095818e-01 -5.149285e-01 -5.321907e-01 -5.794001e-01
8.102992e-01 -5.133544e-01 -5.325772e-01 -5.792678e-01
8.107917e-01 -5.122767e-01 -5.328414e-01 -5.791768e-01
8.111144e-01 -5.115719e-01 -5.330141e-01 -5.791171e-01
8.113140e-01 -5.111364e-01 -5.331207e-01 -5.790802e-01
8.114287e-01 -5.108862e-01 -5.331819e-01 -5.790590e-01
8.114887e-01 -5.107556e-01 -5.332139e-01 -5.790479e-01
8.115160e-01 -5.106959e-01 -5.332285e-01 -5.790428e-01
8.115263e-01 -5.106736e-01 -5.332340e-01 -5.790409e-01
8.115291e-01 -5.106675e-01 -5.332354e-01 -5.790404e-01
8.115295e-01 -5.106666e-01 -5.332357e-01 -5.790403e-01
8.115296e-01 -5.106665e-01 -5.332357e-01 -5.790403e-01
8.115308e-01 -5.106637e-01 -5.332364e-01 -5.790401e-01
8.115394e-01 -5.106451e-01 -5.332409e-01 -5.790385e-01
8.115709e-01 -5.105765e-01 -5.332577e-01 -5.790326e-01
8.116547e-01 -5.103938e-01 -5.333024e-01 -5.790171e-01
8.118383e-01 -5.099942e-01 -5.334001e-01 -5.789831e-01
8.121899e-01 -5.092298e-01 -5.335869e-01 -5.789179e-01
8.128014e-01 -5.079031e-01 -5.339107e-01 -5.788043e-01
8.137899e-01 -5.057658e-01 -5.344313e-01 -5.786204e-01
8.152987e-01 -5.025214e-01 -5.352193e-01 -5.783388e-01
8.174968e-01 -4.978328e-01 -5.363529e-01 -5.779265e-01
8.205780e-01 -4.913360e-01 -5.379135e-01 -5.773448e-01
8.247587e-01 -4.826595e-01 -5.399784e-01 -5.765484e-01
8.302747e-01 -4.714512e-01 -5.426118e-01 -5.754854e-01
8.373776e-01 -4.574099e-01 -5.458534e-01 -5.740965e-01
8.463297e-01 -4.403210e-01 -5.497055e-01 -5.723151e-01
8.573988e-01 -4.200907e-01 -5.541206e-01 -5.700664e-01
8.708525e-01 -3.967771e-01 -5.589900e-01 -5.672683e-01
8.869516e-01 -3.706100e-01 -5.641353e-01 -5.638319e-01
9.059434e-01 -3.419966e-01 -5.693065e-01 -5.596638e-01
9.280559e-01 -3.115085e-01 -5.741860e-01 -5.546684e-01
9.534907e-01 -2.798498e-01 -5.784012e-01 -5.487529e-01
9.824170e-01 -2.478078e-01 -5.815447e-01 -5.418319e-01
1.014966e+00 -2.161933e-01 -5.832012e-01 -5.338337e-01
1.051227e+00 -1.857768e-01 -5.829783e-01 -5.247067e-01
1.091241e+00 -1.572297e-01 -5.805378e-01 -5.144259e-01
1.134999e+00 -1.310799e-01 -5.756243e-01 -5.029973e-01
1.182440e+00 -1.076849e-01 -5.680867e-01 -4.904622e-01
1.233448e+00 -8.722537e-02 -5.578910e-01 -4.768977e-01
1.287854e+00 -6.971811e-02 -5.451225e-01 -4.624159e-01
1.345437e+00 -5.504234e-02 -5.299775e-01 -4.471596e-01
1.405925e+00 -4.297476e-02 -5.127467e-01 -4.312961e-01
1.468998e+00 -3.322674e-02 -4.937917e-01 -4.150098e-01
1.534295e+00 -2.547879e-02 -4.735186e-01 -3.984928e-01
1.601419e+00 -1.940896e-02 -4.523513e-01 -3.819368e-01
1.669940e+00 -1.471360e-02 -4.307073e-01 -3.655251e-01
1.739407e+00 -1.112045e-02 -4.089771e-01 -3.494260e-01
1.809349e+00 -8.395094e-03 -3.875100e-01 -3.337879e-01
1.879292e+00 -6.342300e-03 -3.666042e-01 -3.187368e-01
1.948758e+00 -4.803936e-03 -3.465026e-01 -3.043740e-01
2.017280e+00 -3.654834e-03 -3.273926e-01 -2.907774e-01
2.084403e+00 -2.797799e-03 -3.094091e-01 -2.780016e-01
2.149701e+00 -2.158527e-03 -2.926400e-01 -2.660809e-01
2.212774e+00 -1.680924e-03 -2.771322e-01 -2.550312e-01
2.273262e+00 -1.323057e-03 -2.628992e-01 -2.448532e-01
2.330845e+00 -1.053816e-03 -2.499270e-01 -2.355345e-01
2.385251e+00 -8.502410e-04 -2.381813e-01 -2.270530e-01
2.436259e+00 -6.954440e-04 -2.276122e-01 -2.193783e-01
2.483700e+00 -5.770179e-04 -2.181594e-01 -2.124744e-01
2.527458e+00 -4.858448e-04 -2.097557e-01 -2.063010e-01
2.567472e+00 -4.152113e-04 -2.023302e-01 -2.008153e-01
2.603732e+00 -3.601613e-04 -1.958103e-01 -1.959724e-01
2.636282e+00 -3.170229e-04 -1.901238e-01 -1.917268e-01
2.665208e+00 -2.830631e-04 -1.851994e-01 -1.880329e-01
2.690643e+00 -2.562357e-04 -1.809680e-01 -1.848452e-01
2.712755e+00 -2.349979e-04 -1.773631e-01 -1.821191e-01
2.731747e+00 -2.181762e-04 -1.743210e-01 -1.798107e-01
2.747846e+00 -2.048692e-04 -1.717808e-01 -1.778775e-01
2.761300e+00 -1.943777e-04 -1.696849e-01 -1.762785e-01
2.772369e+00 -1.861524e-04 -1.679786e-01 -1.749740e-01
2.781321e+00 -1.797570e-04 -1.666106e-01 -1.739263e-01
2.788424e+00 -1.748400e-04 -1.655327e-01 -1.730996e-01
2.793940e+00 -1.711146e-04 -1.647001e-01 -1.724604e-01
2.798121e+00 -1.683440e-04 -1.640718e-01 -1.719776e-01
2.801202e+00 -1.663307e-04 -1.636102e-01 -1.716226e-01
2.803400e+00 -1.649091e-04 -1.632816e-01 -1.713699e-01
2.804909e+00 -1.639403e-04 -1.630564e-01 -1.711966e-01
2.805897e+00 -1.633086e-04 -1.629091e-01 -1.710832e-01
2.806509e+00 -1.629191e-04 -1.628180e-01 -1.710131e-01
2.806861e+00 -1.626956e-04 -1.627656e-01 -1.709728e-01
2.807044e+00 -1.625790e-04 -1.627383e-01 -1.709517e-01
2.807128e+00 -1.625257e-04 -1.627258e-01 -1.709421e-01
2.807159e+00 -1.625058e-04 -1.627211e-01 -1.709385e-01
2.807168e+00 -1.625003e-04 -1.627198e-01 -1.709375e-01
2.807169e+00 -1.624995e-04 -1.627197e-01 -1.709374e-01
2.807169e+00 -1.624994e-04 -1.627196e-01 -1.709373e-01
2.807174e+00 -1.624966e-04 -1.627190e-01 -1.709368e-01
2.807204e+00 -1.624777e-04 -1.627145e-01 -1.709334e-01
2.807313e+00 -1.624081e-04 -1.626982e-01 -1.709208e-01
2.807606e+00 -1.622228e-04 -1.626546e-01 -1.708873e-01
2.808246e+00 -1.618180e-04 -1.625594e-01 -1.708140e-01
2.809473e+00 -1.610456e-04 -1.623771e-01 -1.706736e-01
2.811606e+00 -1.597109e-04 -1.620605e-01 -1.704297e-01
2.815055e+00 -1.575767e-04 -1.615499e-01 -1.700361e-01
2.820318e+00 -1.543742e-04 -1.607736e-01 -1.694373e-01
2.827987e+00 -1.498250e-04 -1.596490e-01 -1.685688e-01
2.838736e+00 -1.436735e-04 -1.580851e-01 -1.673592e-01
2.853321e+00 -1.357297e-04 -1.559867e-01 -1.657323e-01
2.872564e+00 -1.259187e-04 -1.532586e-01 -1.636108e-01
2.897343e+00 -1.143258e-04 -1.498131e-01 -1.609204e-01
2.928573e+00 -1.012280e-04 -1.455763e-01 -1.575949e-01
2.967189e+00 -8.709658e-05 -1.404971e-01 -1.535816e-01
3.014123e+00 -7.256095e-05 -1.345540e-01 -1.488467e-01
3.070287e+00 -5.833389e-05 -1.277623e-01 -1.433803e-01
3.136542e+00 -4.510930e-05 -1.201787e-01 -1.372003e-01
3.213683e+00 -3.345629e-05 -1.119026e-01 -1.303547e-01
3.302415e+00 -2.373791e-05 -1.030737e-01 -1.229211e-01
3.403327e+00 -1.607675e-05 -9.386557e-02 -1.150051e-01
3.516879e+00 -1.037381e-05 -8.447522e-02 -1.067345e-01
3.643378e+00 -6.368841e-06 -7.510999e-02 -9.825313e-02
3.782971e+00 -3.718378e-06 -6.597296e-02 -8.971202e-02
3.935625e+00 -2.067232e-06 -5.724893e-02 -8.126077e-02
4.101127e+00 -1.098894e-06 -4.909263e-02 -7.303907e-02
4.279073e+00 -5.618967e-07 -4.162070e-02 -6.516957e-02
4.468875e+00 -2.766438e-07 -3.490784e-02 -5.775259e-02
4.669759e+00 -1.287551e-07 -2.898741e-02 -5.086317e-02
4.880776e+00 -5.394963e-08 -2.385566e-02 -4.455034e-02
5.100813e+00 -1.943547e-08 -1.947847e-02 -3.883831e-02
5.328610e+00 -7.504954e-09 -1.579935e-02 -3.372928e-02
5.562778e+00 -5.946764e-09 -1.274762e-02 -2.920722e-02
5.801821e+00 -5.883752e-09 -1.024574e-02 -2.524205e-02
6.044160e+00 -3.258420e-09 -8.215308e-03 -2.179385e-02
6.288163e+00  8.998228e-10 -6.581511e-03 -1.881675e-02
6.532165e+00  3.303410e-09 -5.276006e-03 -1.626216e-02
6.774505e+00  2.246493e-09 -4.238481e-03 -1.408138e-02
7.013547e+00 -8.035501e-10 -3.417188e-03 -1.222756e-02
7.247715e+00 -2.843444e-09 -2.768728e-03 -1.065697e-02
7.475513e+00 -2.174843e-09 -2.257386e-03 -9.329772e-03
