376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
1.580683e-01 -1.055175e+01 -1.824542e+00  6.669071e-01 -6.371847e+00  1.657317e+00
1.586383e-01 -1.046051e+01 -1.858587e+00  6.774900e-01 -6.369892e+00  1.656300e+00
1.590810e-01 -1.039021e+01 -1.884809e+00  6.856366e-01 -6.368326e+00  1.655497e+00
1.594164e-01 -1.033725e+01 -1.904558e+00  6.917692e-01 -6.367111e+00  1.654880e+00
1.596637e-01 -1.029839e+01 -1.919044e+00  6.962661e-01 -6.366199e+00  1.654420e+00
1.598401e-01 -1.027076e+01 -1.929343e+00  6.994623e-01 -6.365541e+00  1.654090e+00
1.599612e-01 -1.025183e+01 -1.936395e+00  7.016504e-01 -6.365086e+00  1.653862e+00
1.600405e-01 -1.023945e+01 -1.941007e+00  7.030816e-01 -6.364786e+00  1.653713e+00
1.600896e-01 -1.023180e+01 -1.943858e+00  7.039659e-01 -6.364599e+00  1.653620e+00
1.601178e-01 -1.022741e+01 -1.945496e+00  7.044739e-01 -6.364492e+00  1.653567e+00
1.601325e-01 -1.022511e+01 -1.946350e+00  7.047391e-01 -6.364436e+00  1.653539e+00
1.601392e-01 -1.022407e+01 -1.946741e+00  7.048603e-01 -6.364410e+00  1.653526e+00
1.601418e-01 -1.022367e+01 -1.946887e+00  7.049057e-01 -6.364401e+00  1.653521e+00
1.601424e-01 -1.022357e+01 -1.946927e+00  7.049181e-01 -6.364398e+00  1.653520e+00
1.601425e-01 -1.022355e+01 -1.946933e+00  7.049199e-01 -6.364398e+00  1.653520e+00
1.601426e-01 -1.022355e+01 -1.946934e+00  7.049202e-01 -6.364398e+00  1.653520e+00
1.601430e-01 -1.022348e+01 -1.946958e+00  7.049276e-01 -6.364396e+00  1.653519e+00
1.601458e-01 -1.022305e+01 -1.947120e+00  7.049779e-01 -6.364385e+00  1.653514e+00
1.601560e-01 -1.022145e+01 -1.947716e+00  7.051627e-01 -6.364346e+00  1.653494e+00
1.601834e-01 -1.021719e+01 -1.949304e+00  7.056552e-01 -6.364242e+00  1.653442e+00
1.602433e-01 -1.020787e+01 -1.952776e+00  7.067321e-01 -6.364012e+00  1.653328e+00
