376 6
 0 0 0 0 1 1
 2 2 2 1 6 6
 -1.283309e+02 -1.277542e+01 -1.233137e+00 -6.446058e-02 -1.021911e+01 -6.466367e-01
1.438175e-01  1.119322e+01  3.509355e+00 -1.361920e+00  3.069621e-01 -8.689794e+00  2.636791e+00
1.464295e-01  1.067488e+01  3.705358e+00 -1.427037e+00  3.214175e-01 -8.659583e+00  2.621360e+00
1.487507e-01  1.023467e+01  3.870736e+00 -1.481633e+00  3.335288e-01 -8.630830e+00  2.606974e+00
1.507917e-01  9.862797e+00  4.009538e+00 -1.527179e+00  3.436256e-01 -8.604137e+00  2.593823e+00
1.525662e-01  9.550633e+00  4.125333e+00 -1.564959e+00  3.519954e-01 -8.579901e+00  2.582025e+00
1.540902e-01  9.290518e+00  4.221262e+00 -1.596094e+00  3.588888e-01 -8.558350e+00  2.571630e+00
1.553821e-01  9.075647e+00  4.300085e+00 -1.621556e+00  3.645232e-01 -8.539565e+00  2.562635e+00
1.564617e-01  8.899946e+00  4.364237e+00 -1.642192e+00  3.690875e-01 -8.523514e+00  2.554992e+00
1.573500e-01  8.757970e+00  4.415862e+00 -1.658739e+00  3.727457e-01 -8.510072e+00  2.548620e+00
1.580683e-01  8.644827e+00  4.456861e+00 -1.671839e+00  3.756411e-01 -8.499049e+00  2.543412e+00
1.586383e-01  8.556110e+00  4.488918e+00 -1.682057e+00  3.778985e-01 -8.490207e+00  2.539246e+00
1.590810e-01  8.487849e+00  4.513526e+00 -1.689884e+00  3.796276e-01 -8.483283e+00  2.535990e+00
1.594164e-01  8.436480e+00  4.532011e+00 -1.695755e+00  3.809241e-01 -8.478002e+00  2.533510e+00
1.596637e-01  8.398822e+00  4.545544e+00 -1.700048e+00  3.818720e-01 -8.474091e+00  2.531676e+00
1.598401e-01  8.372061e+00  4.555151e+00 -1.703092e+00  3.825443e-01 -8.471292e+00  2.530364e+00
1.599612e-01  8.353743e+00  4.561723e+00 -1.705174e+00  3.830038e-01 -8.469366e+00  2.529462e+00
1.600405e-01  8.341763e+00  4.566018e+00 -1.706534e+00  3.833041e-01 -8.468103e+00  2.528870e+00
1.600896e-01  8.334361e+00  4.568672e+00 -1.707374e+00  3.834895e-01 -8.467320e+00  2.528504e+00
