376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 4 10
 -4.512097e+02 -5.724349e+01 -7.487710e+00 -5.765130e-01 -5.144414e+01 -5.494354e+00 -2.042601e-01 -1.953579e+00
0.000000e+00  3.901339e+02  1.215875e+02 -4.815994e+01  1.542061e+01  2.460397e-05 -1.004988e-05  2.582625e-06 -1.320568e-06
3.278564e-09  3.901339e+02  1.215875e+02 -4.815993e+01  1.542061e+01  2.101362e-05 -8.621785e-06  2.216763e-06 -1.320564e-06
1.046582e-07  3.901325e+02  1.215871e+02 -4.815977e+01  1.542055e+01 -9.000688e-05  3.553765e-05 -9.096378e-06 -1.320436e-06
7.915214e-07  3.901234e+02  1.215843e+02 -4.815864e+01  1.542019e+01 -8.421781e-04  3.347207e-04 -8.574365e-05 -1.319893e-06
3.316517e-06  3.900899e+02  1.215738e+02 -4.815451e+01  1.541887e+01 -3.607103e-03  1.434495e-03 -3.674933e-04 -1.322800e-06
1.004733e-05  3.900007e+02  1.215460e+02 -4.814349e+01  1.541534e+01 -1.097633e-02  4.365675e-03 -1.118428e-03 -1.368179e-06
2.477810e-05  3.898054e+02  1.214851e+02 -4.811938e+01  1.540762e+01 -2.709842e-02  1.077839e-02 -2.761291e-03 -1.658407e-06
5.299135e-05  3.894316e+02  1.213686e+02 -4.807322e+01  1.539284e+01 -5.795387e-02  2.305142e-02 -5.905503e-03 -2.945509e-06
1.020609e-04  3.887824e+02  1.211662e+02 -4.799303e+01  1.536716e+01 -1.115483e-01  4.436911e-02 -1.136685e-02 -7.470436e-06
1.813877e-04  3.877353e+02  1.208395e+02 -4.786361e+01  1.532572e+01 -1.980011e-01  7.875648e-02 -2.017650e-02 -2.091531e-05
3.024627e-04  3.861424e+02  1.203421e+02 -4.766657e+01  1.526263e+01 -3.295028e-01  1.310624e-01 -3.357668e-02 -5.599703e-05
4.788527e-04  3.838337e+02  1.196204e+02 -4.738061e+01  1.517106e+01 -5.201147e-01  2.068797e-01 -5.300020e-02 -1.384594e-04
7.261078e-04  3.806209e+02  1.186145e+02 -4.698192e+01  1.504339e+01 -7.853811e-01  3.123908e-01 -8.003090e-02 -3.162547e-04
1.061591e-03  3.763049e+02  1.172601e+02 -4.644500e+01  1.487145e+01 -1.141736e+00  4.541310e-01 -1.163430e-01 -6.725829e-04
1.504231e-03  3.706857e+02  1.154915e+02 -4.574361e+01  1.464683e+01 -1.605690e+00  6.386643e-01 -1.636181e-01 -1.343124e-03
2.074209e-03  3.635745e+02  1.132447e+02 -4.485211e+01  1.436131e+01 -2.192810e+00  8.721752e-01 -2.234403e-01 -2.537220e-03
2.792580e-03  3.548076e+02  1.104611e+02 -4.374698e+01  1.400734e+01 -2.916521e+00  1.159989e+00 -2.971734e-01 -4.561935e-03
3.680838e-03  3.442618e+02  1.070922e+02 -4.240850e+01  1.357858e+01 -3.786800e+00  1.506044e+00 -3.858256e-01 -7.846960e-03
4.760448e-03  3.318692e+02  1.031041e+02 -4.082256e+01  1.307049e+01 -4.808849e+00  1.912358e+00 -4.899123e-01 -1.296723e-02
6.052333e-03  3.176306e+02  9.848134e+01 -3.898226e+01  1.248082e+01 -5.981884e+00  2.378529e+00 -6.093277e-01 -2.065935e-02
7.576358e-03  3.016248e+02  9.323064e+01 -3.688943e+01  1.181013e+01 -7.298168e+00  2.901337e+00 -7.432428e-01 -3.182724e-02
9.350803e-03  2.840131e+02  8.738345e+01 -3.455560e+01  1.106205e+01 -8.742455e+00  3.474496e+00 -8.900407e-01 -4.753291e-02
1.139185e-02  2.650370e+02  8.099667e+01 -3.200246e+01  1.024351e+01 -1.029194e+01  4.088617e+00 -1.047307e+00 -6.896871e-02
1.371307e-02  2.450090e+02  7.415180e+01 -2.926159e+01  9.364577e+00 -1.191684e+01  4.731405e+00 -1.211877e+00 -9.740971e-02
1.632504e-02  2.242965e+02  6.695213e+01 -2.637352e+01  8.438218e+00 -1.358155e+01  5.388109e+00 -1.379957e+00 -1.341469e-01
1.923484e-02  2.033002e+02  5.951804e+01 -2.338597e+01  7.479717e+00 -1.524638e+01  6.042211e+00 -1.547292e+00 -1.804052e-01
2.244580e-02  1.824294e+02  5.198099e+01 -2.035159e+01  6.505956e+00 -1.686979e+01  6.676289e+00 -1.709393e+00 -2.372522e-01
2.595722e-02  1.620768e+02  4.447651e+01 -1.732523e+01  5.534555e+00 -1.841070e+01  7.272998e+00 -1.861787e+00 -3.055072e-01
2.976415e-02  1.425952e+02  3.713695e+01 -1.436110e+01  4.582953e+00 -1.983097e+01  7.816074e+00 -2.000276e+00 -3.856594e-01
3.385735e-02  1.242793e+02  3.008463e+01 -1.150997e+01  3.667518e+00 -2.109758e+01  8.291263e+00 -2.121176e+00 -4.778047e-01
3.822326e-02  1.073533e+02  2.342604e+01 -8.816800e+00  2.802768e+00 -2.218433e+01  8.687095e+00 -2.221519e+00 -5.816092e-01
4.284407e-02  9.196642e+01  1.724748e+01 -6.318762e+00  2.000747e+00 -2.307307e+01  8.995440e+00 -2.299198e+00 -6.963035e-01
