376 5
 0 0 0 1 1
 2 2 2 6 3
 -7.598288e+01 -6.269749e+00 -4.700705e-01 -4.516571e+00 -1.666750e-01
1.580683e-01 -1.115050e+01 -1.019547e+00  3.837597e-01 -5.639521e+00  1.380356e+00
1.586383e-01 -1.106009e+01 -1.052910e+00  3.938178e-01 -5.639165e+00  1.379944e+00
1.590810e-01 -1.099039e+01 -1.078628e+00  4.015682e-01 -5.638844e+00  1.379611e+00
1.594164e-01 -1.093786e+01 -1.098009e+00  4.074073e-01 -5.638576e+00  1.379353e+00
1.596637e-01 -1.089931e+01 -1.112232e+00  4.116914e-01 -5.638364e+00  1.379158e+00
1.598401e-01 -1.087189e+01 -1.122348e+00  4.147377e-01 -5.638206e+00  1.379018e+00
1.599612e-01 -1.085311e+01 -1.129276e+00  4.168239e-01 -5.638094e+00  1.378920e+00
1.600405e-01 -1.084083e+01 -1.133808e+00  4.181887e-01 -5.638019e+00  1.378856e+00
1.600896e-01 -1.083324e+01 -1.136609e+00  4.190320e-01 -5.637972e+00  1.378816e+00
1.601178e-01 -1.082887e+01 -1.138219e+00  4.195166e-01 -5.637945e+00  1.378793e+00
1.601325e-01 -1.082660e+01 -1.139059e+00  4.197695e-01 -5.637931e+00  1.378781e+00
1.601392e-01 -1.082556e+01 -1.139443e+00  4.198851e-01 -5.637924e+00  1.378776e+00
1.601418e-01 -1.082516e+01 -1.139587e+00  4.199284e-01 -5.637922e+00  1.378773e+00
1.601424e-01 -1.082506e+01 -1.139626e+00  4.199402e-01 -5.637921e+00  1.378773e+00
1.601425e-01 -1.082504e+01 -1.139632e+00  4.199420e-01 -5.637921e+00  1.378773e+00
1.601426e-01 -1.082504e+01 -1.139633e+00  4.199423e-01 -5.637921e+00  1.378773e+00
1.601430e-01 -1.082498e+01 -1.139656e+00  4.199493e-01 -5.637921e+00  1.378772e+00
1.601458e-01 -1.082454e+01 -1.139816e+00  4.199973e-01 -5.637918e+00  1.378770e+00
1.601560e-01 -1.082296e+01 -1.140401e+00  4.201736e-01 -5.637908e+00  1.378762e+00
1.601834e-01 -1.081873e+01 -1.141961e+00  4.206434e-01 -5.637881e+00  1.378739e+00
1.602433e-01 -1.080948e+01 -1.145374e+00  4.216708e-01 -5.637822e+00  1.378690e+00
1.603581e-01 -1.079178e+01 -1.151902e+00  4.236360e-01 -5.637707e+00  1.378595e+00
1.605577e-01 -1.076107e+01 -1.163230e+00  4.270455e-01 -5.637501e+00  1.378429e+00
1.608803e-01 -1.071162e+01 -1.181473e+00  4.325352e-01 -5.637153e+00  1.378156e+00
1.613728e-01 -1.063658e+01 -1.209149e+00  4.408612e-01 -5.636582e+00  1.377729e+00
1.620903e-01 -1.052822e+01 -1.249111e+00  4.528774e-01 -5.635670e+00  1.377084e+00
1.630960e-01 -1.037821e+01 -1.304420e+00  4.694961e-01 -5.634230e+00  1.376137e+00
1.644606e-01 -1.017814e+01 -1.378157e+00  4.916300e-01 -5.631982e+00  1.374773e+00
1.662611e-01 -9.920144e+00 -1.473179e+00  5.201138e-01 -5.628505e+00  1.372836e+00
1.685795e-01 -9.597690e+00 -1.591821e+00  5.556105e-01 -5.623195e+00  1.370115e+00
1.715015e-01 -9.206404e+00 -1.735551e+00  5.985036e-01 -5.615214e+00  1.366338e+00
1.751145e-01 -8.744904e+00 -1.904634e+00  6.487893e-01 -5.603441e+00  1.361151e+00
1.795059e-01 -8.215480e+00 -2.097818e+00  7.059772e-01 -5.586449e+00  1.354118e+00
1.847607e-01 -7.624523e+00 -2.312114e+00  7.690186e-01 -5.562494e+00  1.344716e+00
1.909597e-01 -6.982555e+00 -2.542708e+00  8.362766e-01 -5.529557e+00  1.332348e+00
1.981774e-01 -6.303809e+00 -2.783043e+00  9.055511e-01 -5.485417e+00  1.316360e+00
2.064794e-01 -5.605334e+00 -3.025105e+00  9.741676e-01 -5.427783e+00  1.296081e+00
2.159211e-01 -4.905720e+00 -3.259899e+00  1.039128e+00 -5.354459e+00  1.270867e+00
2.265454e-01 -4.223575e+00 -3.478072e+00  1.097311e+00 -5.263542e+00  1.240155e+00
2.383811e-01 -3.575998e+00 -3.670628e+00  1.145706e+00 -5.153618e+00  1.203519e+00
2.514418e-01 -2.977244e+00 -3.829641e+00  1.181650e+00 -5.023945e+00  1.160720e+00
2.657247e-01 -2.437777e+00 -3.948878e+00  1.203037e+00 -4.874578e+00  1.111751e+00
2.812096e-01 -1.963827e+00 -4.024249e+00  1.208480e+00 -4.706439e+00  1.056853e+00
2.978589e-01 -1.557454e+00 -4.054044e+00  1.197402e+00 -4.521294e+00  9.965168e-01
3.156174e-01 -1.217046e+00 -4.038926e+00  1.170046e+00 -4.321663e+00  9.314612e-01
3.344127e-01 -9.381133e-01 -3.981699e+00  1.127415e+00 -4.110656e+00  8.625925e-01
3.541562e-01 -7.142167e-01 -3.886918e+00  1.071147e+00 -3.891769e+00  7.909485e-01
3.747436e-01 -5.378807e-01 -3.760378e+00  1.003355e+00 -3.668658e+00  7.176363e-01
3.960570e-01 -4.013771e-01 -3.608581e+00  9.264393e-01 -3.444923e+00  6.437701e-01
4.179666e-01 -2.973188e-01 -3.438226e+00  8.429161e-01 -3.223920e+00  5.704148e-01
4.403322e-01 -2.190472e-01 -3.255781e+00  7.552541e-01 -3.008624e+00  4.985403e-01
4.630064e-01 -1.608338e-01 -3.067154e+00  6.657513e-01 -2.801525e+00  4.289888e-01
4.858360e-01 -1.179345e-01 -2.877480e+00  5.764439e-01 -2.604597e+00  3.624547e-01
5.086657e-01 -8.654344e-02 -2.691011e+00  4.890525e-01 -2.419284e+00  2.994778e-01
5.313398e-01 -6.368735e-02 -2.511090e+00  4.049601e-01 -2.246539e+00  2.404456e-01
5.537055e-01 -4.709470e-02 -2.340198e+00  3.252158e-01 -2.086873e+00  1.856037e-01
5.756150e-01 -3.506144e-02 -2.180039e+00  2.505573e-01 -1.940423e+00  1.350717e-01
5.969285e-01 -2.632796e-02 -2.031653e+00  1.814464e-01 -1.807022e+00  8.886155e-02
6.175159e-01 -1.997389e-02 -1.895533e+00  1.181104e-01 -1.686267e+00  4.689719e-02
6.372593e-01 -1.533274e-02 -1.771745e+00  6.058558e-02 -1.577587e+00  9.034012e-03
6.560547e-01 -1.192497e-02 -1.660032e+00  8.759738e-03 -1.480291e+00 -2.492340e-02
6.738132e-01 -9.407107e-03 -1.559910e+00 -3.758956e-02 -1.393621e+00 -5.520533e-02
6.904625e-01 -7.533686e-03 -1.470739e+00 -7.876132e-02 -1.316785e+00 -8.206339e-02
7.059474e-01 -6.129274e-03 -1.391789e+00 -1.151030e-01 -1.248986e+00 -1.057594e-01
7.202302e-01 -5.068256e-03 -1.322283e+00 -1.469882e-01 -1.189444e+00 -1.265568e-01
7.332910e-01 -4.260390e-03 -1.261436e+00 -1.747990e-01 -1.137407e+00 -1.447139e-01
7.451267e-01 -3.640594e-03 -1.208472e+00 -1.989131e-01 -1.092164e+00 -1.604793e-01
7.557510e-01 -3.161723e-03 -1.162647e+00 -2.196955e-01 -1.053046e+00 -1.740890e-01
