376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
1.601418e-01 -1.254940e+01  1.348766e+00 -2.228047e-01 -2.816230e+00
1.601424e-01 -1.254931e+01  1.348736e+00 -2.227995e-01 -2.816233e+00
1.601425e-01 -1.254929e+01  1.348732e+00 -2.227987e-01 -2.816233e+00
1.601426e-01 -1.254929e+01  1.348731e+00 -2.227986e-01 -2.816233e+00
1.601430e-01 -1.254924e+01  1.348714e+00 -2.227955e-01 -2.816235e+00
1.601458e-01 -1.254887e+01  1.348595e+00 -2.227743e-01 -2.816247e+00
1.601560e-01 -1.254752e+01  1.348157e+00 -2.226967e-01 -2.816291e+00
1.601834e-01 -1.254392e+01  1.346989e+00 -2.224898e-01 -2.816409e+00
1.602433e-01 -1.253605e+01  1.344436e+00 -2.220372e-01 -2.816666e+00
1.603581e-01 -1.252100e+01  1.339549e+00 -2.211712e-01 -2.817157e+00
1.605577e-01 -1.249485e+01  1.331062e+00 -2.196671e-01 -2.818009e+00
1.608803e-01 -1.245270e+01  1.317378e+00 -2.172419e-01 -2.819378e+00
1.613728e-01 -1.238866e+01  1.296573e+00 -2.135549e-01 -2.821449e+00
1.620903e-01 -1.229595e+01  1.266440e+00 -2.082151e-01 -2.824427e+00
1.630960e-01 -1.216720e+01  1.224551e+00 -2.007926e-01 -2.828523e+00
1.644606e-01 -1.199470e+01  1.168363e+00 -1.908374e-01 -2.833935e+00
1.662611e-01 -1.177093e+01  1.095356e+00 -1.779042e-01 -2.840823e+00
1.685795e-01 -1.148907e+01  1.003207e+00 -1.615832e-01 -2.849279e+00
1.715015e-01 -1.114363e+01  8.899909e-01 -1.415363e-01 -2.859285e+00
1.751145e-01 -1.073115e+01  7.543946e-01 -1.175355e-01 -2.870682e+00
1.795059e-01 -1.025077e+01  5.959267e-01 -8.950032e-02 -2.883135e+00
1.847607e-01 -9.704713e+00  4.150990e-01 -5.753094e-02 -2.896103e+00
1.909597e-01 -9.098600e+00  2.135539e-01 -2.193124e-02 -2.908830e+00
1.981774e-01 -8.441398e+00 -5.886261e-03  1.678165e-02 -2.920354e+00
