376 7
 0 0 0 0 1 1 2
 2 2 2 1 6 6 10
 -3.207112e+02 -3.808838e+01 -4.010749e+00 -1.385332e-01 -3.342632e+01 -2.562693e+00 -1.577210e-01
0.000000e+00  3.065668e+02 -9.381396e+01 -3.588431e+01 -7.699356e+00 -4.447237e-06 -1.539901e-06 -1.014090e-07
3.278564e-09  3.065668e+02 -9.381395e+01 -3.588431e+01 -7.699355e+00 -2.121054e-06 -6.648874e-07 -1.014087e-07
1.046582e-07  3.065659e+02 -9.381367e+01 -3.588420e+01 -7.699333e+00  6.980903e-05  2.639223e-05 -1.014014e-07
7.915214e-07  3.065598e+02 -9.381181e+01 -3.588349e+01 -7.699179e+00  5.571410e-04  2.097063e-04 -1.014867e-07
3.316517e-06  3.065374e+02 -9.380494e+01 -3.588086e+01 -7.698616e+00  2.348551e-03  8.835607e-04 -1.038166e-07
1.004733e-05  3.064775e+02 -9.378663e+01 -3.587386e+01 -7.697113e+00  7.123228e-03  2.679596e-03 -1.255139e-07
2.477810e-05  3.063466e+02 -9.374657e+01 -3.585853e+01 -7.693825e+00  1.756962e-02  6.609097e-03 -2.515711e-07
5.299135e-05  3.060961e+02 -9.366988e+01 -3.582920e+01 -7.687531e+00  3.756472e-02  1.413043e-02 -7.939742e-07
1.020609e-04  3.056608e+02 -9.353661e+01 -3.577822e+01 -7.676593e+00  7.230199e-02  2.719715e-02 -2.678531e-06
1.813877e-04  3.049585e+02 -9.332149e+01 -3.569592e+01 -7.658935e+00  1.283544e-01  4.828175e-02 -8.249180e-06
3.024627e-04  3.038896e+02 -9.299389e+01 -3.557059e+01 -7.632044e+00  2.136577e-01  8.036927e-02 -2.274988e-05
4.788527e-04  3.023392e+02 -9.251825e+01 -3.538860e+01 -7.592994e+00  3.373973e-01  1.269148e-01 -5.679950e-05
7.261078e-04  3.001794e+02 -9.185472e+01 -3.513468e+01 -7.538509e+00  5.097843e-01  1.917593e-01 -1.301936e-04
1.061591e-03  2.972737e+02 -9.096037e+01 -3.479235e+01 -7.465054e+00  7.417078e-01  2.789980e-01 -2.773253e-04
1.504231e-03  2.934833e+02 -8.979079e+01 -3.434453e+01 -7.368959e+00  1.044256e+00  3.928007e-01 -5.543921e-04
2.074209e-03  2.886742e+02 -8.830205e+01 -3.377429e+01 -7.246588e+00  1.428115e+00  5.371835e-01 -1.048335e-03
2.792580e-03  2.827263e+02 -8.645312e+01 -3.306574e+01 -7.094529e+00  1.902850e+00  7.157388e-01 -1.887143e-03
3.680838e-03  2.755427e+02 -8.420859e+01 -3.220507e+01 -6.909810e+00  2.476122e+00  9.313362e-01 -3.250749e-03
4.760448e-03  2.670593e+02 -8.154138e+01 -3.118157e+01 -6.690128e+00  3.152873e+00  1.185812e+00 -5.381364e-03
6.052333e-03  2.572543e+02 -7.843550e+01 -2.998870e+01 -6.434067e+00  3.934556e+00  1.479676e+00 -8.591668e-03
