376 3
 0 0 1
 2 2 4
 -1.869082e+01 -8.205996e-01 -2.895125e-01
1.751145e-01 -1.094003e+01  1.807231e+00 -1.380804e+00
1.795059e-01 -1.058144e+01  1.701007e+00 -1.394332e+00
1.847607e-01 -1.016825e+01  1.577998e+00 -1.409681e+00
1.909597e-01 -9.702173e+00  1.438436e+00 -1.426655e+00
1.981774e-01 -9.187188e+00  1.283213e+00 -1.444936e+00
2.064794e-01 -8.629558e+00  1.113899e+00 -1.464089e+00
2.159211e-01 -8.037590e+00  9.327163e-01 -1.483568e+00
2.265454e-01 -7.421253e+00  7.424628e-01 -1.502743e+00
2.383811e-01 -6.791627e+00  5.463856e-01 -1.520922e+00
2.514418e-01 -6.160255e+00  3.480205e-01 -1.537399e+00
2.657247e-01 -5.538470e+00  1.510069e-01 -1.551485e+00
2.812096e-01 -4.936752e+00 -4.110406e-02 -1.562556e+00
2.978589e-01 -4.364190e+00 -2.250298e-01 -1.570088e+00
3.156174e-01 -3.828092e+00 -3.979106e-01 -1.573685e+00
3.344127e-01 -3.333772e+00 -5.574253e-01 -1.573102e+00
3.541562e-01 -2.884505e+00 -7.018609e-01 -1.568248e+00
3.747436e-01 -2.481650e+00 -8.301365e-01 -1.559186e+00
3.960570e-01 -2.124876e+00 -9.417835e-01 -1.546120e+00
4.179666e-01 -1.812477e+00 -1.036891e+00 -1.529374e+00
4.403322e-01 -1.541717e+00 -1.116024e+00 -1.509366e+00
4.630064e-01 -1.309165e+00 -1.180134e+00 -1.486584e+00
4.858360e-01 -1.111007e+00 -1.230453e+00 -1.461558e+00
5.086657e-01 -9.432990e-01 -1.268401e+00 -1.434833e+00
5.313398e-01 -8.021662e-01 -1.295496e+00 -1.406949e+00
5.537055e-01 -6.839456e-01 -1.313281e+00 -1.378424e+00
5.756150e-01 -5.852766e-01 -1.323261e+00 -1.349735e+00
5.969285e-01 -5.031490e-01 -1.326858e+00 -1.321312e+00
6.175159e-01 -4.349193e-01 -1.325380e+00 -1.293529e+00
6.372593e-01 -3.783028e-01 -1.319998e+00 -1.266703e+00
6.560547e-01 -3.313512e-01 -1.311741e+00 -1.241092e+00
6.738132e-01 -2.924205e-01 -1.301492e+00 -1.216897e+00
6.904625e-01 -2.601352e-01 -1.289993e+00 -1.194266e+00
7.059474e-01 -2.333530e-01 -1.277857e+00 -1.173303e+00
7.202302e-01 -2.111293e-01 -1.265576e+00 -1.154065e+00
7.332910e-01 -1.926860e-01 -1.253535e+00 -1.136574e+00
7.451267e-01 -1.773839e-01 -1.242026e+00 -1.120820e+00
7.557510e-01 -1.646976e-01 -1.231260e+00 -1.106763e+00
7.651927e-01 -1.541955e-01 -1.221379e+00 -1.094345e+00
7.734947e-01 -1.455221e-01 -1.212468e+00 -1.083487e+00
7.807123e-01 -1.383834e-01 -1.204566e+00 -1.074095e+00
7.869114e-01 -1.325355e-01 -1.197672e+00 -1.066066e+00
7.921662e-01 -1.277745e-01 -1.191755e+00 -1.059287e+00
7.965576e-01 -1.239287e-01 -1.186763e+00 -1.053642e+00
8.001706e-01 -1.208525e-01 -1.182623e+00 -1.049012e+00
8.030926e-01 -1.184212e-01 -1.179256e+00 -1.045276e+00
8.054110e-01 -1.165274e-01 -1.176572e+00 -1.042319e+00
8.072115e-01 -1.150778e-01 -1.174480e+00 -1.040025e+00
8.085761e-01 -1.139913e-01 -1.172891e+00 -1.038289e+00
8.095818e-01 -1.131972e-01 -1.171717e+00 -1.037011e+00
8.102992e-01 -1.126341e-01 -1.170879e+00 -1.036099e+00
8.107917e-01 -1.122492e-01 -1.170303e+00 -1.035474e+00
8.111144e-01 -1.119978e-01 -1.169925e+00 -1.035065e+00
8.113140e-01 -1.118425e-01 -1.169691e+00 -1.034811e+00
8.114287e-01 -1.117534e-01 -1.169557e+00 -1.034666e+00
8.114887e-01 -1.117069e-01 -1.169487e+00 -1.034590e+00
8.115160e-01 -1.116856e-01 -1.169455e+00 -1.034555e+00
8.115263e-01 -1.116776e-01 -1.169443e+00 -1.034542e+00
8.115291e-01 -1.116755e-01 -1.169439e+00 -1.034538e+00
8.115295e-01 -1.116751e-01 -1.169439e+00 -1.034538e+00
8.115296e-01 -1.116751e-01 -1.169439e+00 -1.034538e+00
8.115308e-01 -1.116741e-01 -1.169437e+00 -1.034536e+00
8.115394e-01 -1.116675e-01 -1.169427e+00 -1.034525e+00
8.115709e-01 -1.116431e-01 -1.169391e+00 -1.034485e+00
8.116547e-01 -1.115780e-01 -1.169292e+00 -1.034379e+00
8.118383e-01 -1.114357e-01 -1.169077e+00 -1.034146e+00
8.121899e-01 -1.111638e-01 -1.168665e+00 -1.033700e+00
8.128014e-01 -1.106924e-01 -1.167947e+00 -1.032925e+00
8.137899e-01 -1.099347e-01 -1.166786e+00 -1.031673e+00
8.152987e-01 -1.087882e-01 -1.165011e+00 -1.029764e+00
8.174968e-01 -1.071396e-01 -1.162417e+00 -1.026986e+00
8.205780e-01 -1.048711e-01 -1.158767e+00 -1.023101e+00
8.247587e-01 -1.018705e-01 -1.153790e+00 -1.017845e+00
8.302747e-01 -9.804397e-02 -1.147184e+00 -1.010939e+00
8.373776e-01 -9.332977e-02 -1.138613e+00 -1.002093e+00
8.463297e-01 -8.771311e-02 -1.127719e+00 -9.910229e-01
8.573988e-01 -8.123804e-02 -1.114127e+00 -9.774570e-01
8.708525e-01 -7.401453e-02 -1.097455e+00 -9.611548e-01
8.869516e-01 -6.621793e-02 -1.077339e+00 -9.419214e-01
9.059434e-01 -5.807919e-02 -1.053452e+00 -9.196243e-01
9.280559e-01 -4.986599e-02 -1.025539e+00 -8.942085e-01
9.534907e-01 -4.185686e-02 -9.934482e-01 -8.657102e-01
